"ID_PROG","FIRST.YEAR","LAST.YEAR","NEW.ID_PROG","COMMENTS","nbYear"
"275",2011,2015,"275","",5
"276",2011,2020,"276","",10
"277",2011,2012,"277","",2
"283",2015,2022,"283","",8
"284",2011,2022,"284","",12
"286",2011,2018,"286","",8
"287",2012,2020,"287","",9
"288",2010,2014,"288","",5
"291",2011,2022,"291","",12
"292",2012,2022,"292","",11
"293",2011,2018,"293","",8
"294",2011,2013,"294","",3
"295",2012,2015,"295","",4
"296",2014,2015,"296","",2
"297",2012,2022,"297","",11
"298",2011,2019,"298","",9
"299",2013,2021,"299","",9
"610",2013,2016,"610","",4
"615",2012,2018,"615","",7
"620",2012,2013,"620","",2
"621",2012,2022,"621","",11
"622",2012,2019,"622","",8
"628",2015,2015,"628","",1
"637",2011,2021,"637","",11
"639",2013,2022,"639","",10
"640",2013,2022,"640","",10
"641",2013,2022,"641","",10
"642",2013,2016,"642","",4
"643",2013,2019,"643","",7
"649",2013,2021,"649","",9
"650",2013,2021,"650","",9
"659",2013,2015,"659","",3
"660",2013,2022,"660","",10
"662",2013,2016,"662","",4
"663",2015,2018,"663","",4
"667",2014,2021,"667","",8
"668",2010,2010,"668","",1
"672",2014,2016,"672","",3
"676",2014,2022,"676","",9
"683",2015,2022,"683","",8
"684",2014,2019,"684","",6
"686",2014,2016,"686","",3
"687",2014,2017,"687","",4
"693",2014,2017,"693","",4
"699",2015,2022,"699","",8
"700",2015,2019,"700","",5
"701",2014,2019,"701","",6
"716",2014,2022,"716","",9
"802",2015,2021,"802","",7
"803",2014,2021,"803","",8
"804",2015,2021,"804","",7
"805",2014,2017,"805","",4
"806",2014,2019,"806","",6
"807",2014,2021,"807","",8
"808",2014,2016,"808","",3
"809",2014,2018,"809","",5
"810",2014,2021,"810","",8
"811",2014,2016,"811","",3
"812",2014,2021,"812","",8
"813",2016,2022,"813","",7
"820",2015,2019,"820","",5
"822",2014,2022,"822","",9
"825",2015,2018,"825","",4
"842",2015,2021,"842","",7
"844",2015,2022,"844","",8
"845",2015,2022,"845","",8
"848",2015,2022,"848","",8
"849",2015,2019,"849","",5
"851",2015,2018,"851","",4
"867",2015,2022,"867","",8
"896",2015,2022,"896","",8
"897",2015,2022,"897","",8
"898",2009,2022,"898","",14
"907",2016,2019,"907","",4
"910",2016,2017,"910","",2
"914",2016,2021,"914","",6
"915",2015,2022,"915","",8
"919",2016,2020,"919","",5
"920",2016,2022,"920","",7
"926",2017,2021,"926","",5
