"YEAR";"BIOGEOREF";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"ESPECE"
2003;"Atlantique";2,01785714285714;2,50714285714286;4,65714285714286;8,55357142857143;9,9375;"ACRSCI"
2004;"Atlantique";1,38034188034188;2,54166666666667;4,24825174825175;8,35714285714286;14,2125;"ACRSCI"
2005;"Atlantique";1,875;3,8974358974359;5,83333333333333;12,7857142857143;17,4423076923077;"ACRSCI"
2006;"Atlantique";1,86057692307692;3,375;9;11,7142857142857;14,625;"ACRSCI"
2007;"Atlantique";1,18846153846154;4,5;7,5;11,0952380952381;28,6666666666667;"ACRSCI"
2008;"Atlantique";1,48386571056063;2,5;4,74285714285714;7,56063432835821;24,9621212121212;"ACRSCI"
2009;"Atlantique";1,52472527472527;2,5;4,16483516483516;12;24;"ACRSCI"
2010;"Atlantique";1,3125;2,30769230769231;3;9,36309523809524;32,0227272727273;"ACRSCI"
2011;"Atlantique";1,86346153846154;3;4,54545454545454;14,1666666666667;37,3977272727273;"ACRSCI"
2012;"Atlantique";2,56730769230769;3;6,33333333333333;8,88636363636364;38,1121700879765;"ACRSCI"
2013;"Atlantique";1,78228021978022;2,96428571428571;4,96212121212121;10,0072463768116;36,9613636363636;"ACRSCI"
2014;"Atlantique";1,74688914027149;2,875;6,04545454545454;19,59375;37,6545454545455;"ACRSCI"
2015;"Atlantique";1,11881868131868;3;7,83333333333333;13,03125;35,2022727272727;"ACRSCI"
2016;"Atlantique";1,5;5;8,07692307692308;14;39,9272727272727;"ACRSCI"
2017;"Atlantique";2,5;3;8,33333333333333;11,25;29,1454545454546;"ACRSCI"
2018;"Atlantique";1,13892857142857;2,625;4,25;10;23,1159090909091;"ACRSCI"
2019;"Atlantique";1,79432013769363;2,5;6;17;22;"ACRSCI"
2020;"Atlantique";1,78928571428571;3,01498127340824;9;14,7727272727273;18,7;"ACRSCI"
2021;"Atlantique";1,785;3,23076923076923;6;13,4848484848485;29,175;"ACRSCI"
2022;"Atlantique";2,5;2,97115384615385;6,47727272727273;8,5;35,7583333333333;"ACRSCI"
1990;"Atlantique";0,611666666666667;0,716666666666667;0,833333333333333;1,74019607843137;2,55637254901961;"AEGCAU"
1991;"Atlantique";1,38836898395722;1,61096256684492;1,85828877005348;2,10561497326203;2,32820855614973;"AEGCAU"
1992;"Atlantique";1,37345013477089;1,84770889487871;2,37466307277628;2,90161725067385;3,37587601078167;"AEGCAU"
1993;"Atlantique";0,804166666666667;2,04166666666667;2,96428571428571;3,77142857142857;4,69714285714286;"AEGCAU"
1994;"Atlantique";0,713525835866262;1,39057750759878;2,14285714285714;2,32142857142857;2,48214285714286;"AEGCAU"
1995;"Atlantique";0,869805194805195;0,983766233766234;1,11038961038961;1,23701298701299;1,35097402597403;"AEGCAU"
1996;"Atlantique";0,888888888888889;0,888888888888889;0,888888888888889;0,888888888888889;0,888888888888889;"AEGCAU"
1998;"Atlantique";0,882352941176471;0,882352941176471;0,882352941176471;0,882352941176471;0,882352941176471;"AEGCAU"
1999;"Atlantique";1,2962962962963;1,2962962962963;1,2962962962963;1,2962962962963;1,2962962962963;"AEGCAU"
2000;"Atlantique";1,41428571428571;2,57142857142857;3,12162162162162;3,40465465465465;3,84046546546547;"AEGCAU"
2001;"Atlantique";0,980769230769231;2,30769230769231;3,75;4,28571428571429;4,92857142857143;"AEGCAU"
2002;"Atlantique";0,606606606606607;1,66666666666667;3;4,28571428571429;10,5333333333333;"AEGCAU"
2003;"Atlantique";0,844444444444444;2,14285714285714;6;8,57142857142857;11,1818181818182;"AEGCAU"
2004;"Atlantique";1,09375;1,625;2,32142857142857;2,9025974025974;5,01623376623377;"AEGCAU"
2005;"Atlantique";1,25992063492063;2,72727272727273;3;6,42857142857143;13,2605042016807;"AEGCAU"
2006;"Atlantique";1,11642857142857;2,1243842364532;2,5;4,28571428571429;4,58365384615385;"AEGCAU"
2007;"Atlantique";1,678125;2,14285714285714;3,8;6,29464285714286;14,05;"AEGCAU"
2008;"Atlantique";1,59166666666667;2,78571428571429;5;8,5625;15;"AEGCAU"
2009;"Atlantique";0,968406593406594;2,26648351648352;3,75;5,25;9,625;"AEGCAU"
2010;"Atlantique";2,21291208791209;2,79545454545455;4,70588235294118;6,23684210526316;12,1568181818182;"AEGCAU"
2011;"Atlantique";2,20467032967033;3;4,51127819548872;10,9615384615385;15,5102040816327;"AEGCAU"
2012;"Atlantique";1,61184210526316;4,53296703296703;7,5;10,0961538461538;14,625;"AEGCAU"
2013;"Atlantique";2;3;4;5,72727272727273;15,375;"AEGCAU"
2014;"Atlantique";2,33928571428571;4,80769230769231;6;8,75;14,5147058823529;"AEGCAU"
2015;"Atlantique";2,20769230769231;3;5,17857142857143;7,5;24,4166666666667;"AEGCAU"
2016;"Atlantique";2,5;3;3,875;5,25;14,90625;"AEGCAU"
2017;"Atlantique";1,96428571428571;3,1875;5,5;8,05944055944056;13,6363636363636;"AEGCAU"
2018;"Atlantique";1,70384615384615;3;4,8;6,49122807017544;13,05;"AEGCAU"
2019;"Atlantique";1,74615384615385;2,5;4,28571428571429;7,5;18,6;"AEGCAU"
2020;"Atlantique";2,06785714285714;2,5;4,5;6,5;10,18125;"AEGCAU"
2021;"Atlantique";1,49285714285714;2,5;3,46153846153846;10;12,6666666666667;"AEGCAU"
2022;"Atlantique";1,50642857142857;3,75;4,55357142857143;6,47093023255816;13,2461538461538;"AEGCAU"
1993;"Atlantique";0,857142857142857;0,857142857142857;0,857142857142857;0,857142857142857;0,857142857142857;"ALCATT"
1994;"Atlantique";1,71428571428571;1,71428571428571;1,71428571428571;1,71428571428571;1,71428571428571;"ALCATT"
1995;"Atlantique";0,857142857142857;0,857142857142857;0,857142857142857;0,857142857142857;0,857142857142857;"ALCATT"
