"HABITAT";"SP";"ABUND025";"ABUND25";"ABUND50";"ABUND75";"ABUND90";"ABUND975";"NB_STATION_CAPTURE";"NB_STATION";"PROP_STATION_CAPTURE";"HABITAT_SP";"MIGRATION";"nb_site";"prop_site"
"STOC-rozo";"ACRARU";0;0;0;1,75;3,25;4,175;1,5;11,5;0,153846153846154;"Aquatique";"Long";10;0,25
"STOC-rozo";"ACRMEL";0;0;0;0;0;0;0;12;0;"Aquatique";"Court";3;0,075
"STOC-rozo";"ACRRIS";0;0;1;2;2,9;3,65;4;11,5;0,384615384615385;"Aquatique";"Long";20;0,5
"STOC-rozo";"ACRSCH";0;1;5;11;17,05;21,7625;7;11,5;0,651515151515151;"Aquatique";"Long";35;0,875
"STOC-rozo";"ACRSCI";11,5;22;30,25;39;48,95;55,3;11;11,5;1;"Aquatique";"Long";39;0,975
"STOC-rozo";"AEGCAU";0;0;0;0;0,65;0,9125;1;11,5;0,0801282051282051;"Terrestre";"Court";15;0,375
"STOC-rozo";"ALCATT";0;0;0;0;0,15;0,4125;0,5;11,5;0,0384615384615385;"Aquatique";"Court";15;0,375
"STOC-rozo";"ANTPRA";0;0;0;0;0;0;0;12,5;0;"Terrestre";"Court";1;0,025
"STOC-rozo";"APUAPU";0;0;0;0;0;0;0;12;0;"Terrestre";"Long";2;0,05
"STOC-rozo";"CARCHL";0;0;0;0;0;0;0;12;0;"Terrestre";"Court";7;0,175
"STOC-rozo";"CARINA";0;0;0;0;0;0;0;11,5;0;"Terrestre";"Court";7;0,175
"STOC-rozo";"CARLIS";0;0;0;0;0;0;0;11,5;0;"Terrestre";"Court";7;0,175
"STOC-rozo";"CERYLA";0;0;0;0;0;0;0;12;0;"Terrestre";"Court";12;0,3
"STOC-rozo";"CETCET";0;0;0;1;2,4;3,6;3;11,5;0,333333333333333;"Aquatique";"Court";28;0,7
"STOC-rozo";"CISJUN";0;0;0;0;0;0;0;12;0;"Aquatique";"Court";7;0,175
"STOC-rozo";"COCTES";0;0;0;0;0;0;0;11,5;0;"Terrestre";"Court";1;0,025
"STOC-rozo";"CUCCAN";0;0;0;0;0;0;0;12;0;"Terrestre";"Long";2;0,05
"STOC-rozo";"DELURB";0;0;0;0;0;0;0;12;0;"Terrestre";"Long";2;0,05
"STOC-rozo";"DENMAJ";0;0;0;0;0;0;0;12;0;"Terrestre";"Court";7;0,175
"STOC-rozo";"DENMIN";0;0;0;0;0;0;0;12;0;"Terrestre";"Court";2;0,05
"STOC-rozo";"EMBCIR";0;0;0;0;0;0;0;12;0;"Terrestre";"Court";1;0,025
"STOC-rozo";"EMBCIT";0;0;0;0;0;0;0;12;0;"Terrestre";"Court";6;0,15
"STOC-rozo";"EMBSCH";0,275;1,875;3,5;6;8;9,4375;9;11,5;0,846153846153846;"Aquatique";"Court";35;0,875
"STOC-rozo";"ERIRUB";0;0;0;0;1;1,35;1;11,5;0,0871212121212121;"Terrestre";"Court";23;0,575
"STOC-rozo";"FRICOE";0;0;0;0,75;0,9;0,975;1;12;0,0769230769230769;"Terrestre";"Court";8;0,2
"STOC-rozo";"GARGLA";0;0;0;0;0;0;0;12;0;"Terrestre";"Court";6;0,15
"STOC-rozo";"HIPPOL";0;0;0;0;0,3;0,875;1;12;0,0769230769230769;"Terrestre";"Long";17;0,425
"STOC-rozo";"HIRRUS";0;0;0;0;0,399999999999999;0,8625;1;11,5;0,0833333333333333;"Terrestre";"Long";23;0,575
"STOC-rozo";"IXOMIN";0;0;0;0;0;0;0;12;0;"Aquatique";"Long";4;0,1
"STOC-rozo";"JYNTOR";0;0;0;0;0;0;0;12;0;"Terrestre";"Long";2;0,05
"STOC-rozo";"LANRIO";0;0;0;0;0;0;0;12;0;"Terrestre";"Long";5;0,125
"STOC-rozo";"LOCLUS";0;0;0;1,875;3,3;3,825;3;11,5;0,307692307692308;"Aquatique";"Long";16;0,4
"STOC-rozo";"LOCNAE";0;0;0;0,75;1,8;2,825;2;11,5;0,230769230769231;"Aquatique";"Long";21;0,525
"STOC-rozo";"LUSMEG";0;0;0;0;0;0;0;11,5;0;"Terrestre";"Long";13;0,325
"STOC-rozo";"LUSSVE";0,2125;1,5;2,75;5;8;8,8125;6;11,5;0,583333333333333;"Aquatique";"Long";21;0,525
"STOC-rozo";"MERAPI";0;0;0;0;0;0;0;12;0;"Terrestre";"Long";2;0,05
"STOC-rozo";"MOTALB";0;0;0;0;0;0;0;12;0;"Terrestre";"Court";6;0,15
"STOC-rozo";"MOTFLA";0;0;1;1,625;2,95;3,7375;2;12;0,211111111111111;"Terrestre";"Long";8;0,2
"STOC-rozo";"MUSSTR";0;0;0;0;0;0;0;13;0;"Terrestre";"Long";1;0,025
"STOC-rozo";"PANBIA";0,075;0,75;9,25;23;27,45;31,5375;3;12;0,230769230769231;"Aquatique";"Court";9;0,225
"STOC-rozo";"PAPALU";0;0;0;0;0;0;0;12;0;"Terrestre";"Court";4;0,1
"STOC-rozo";"PARCAE";0;0;0,5;1,5;2,7;4,6;4;11,5;0,44949494949495;"Terrestre";"Court";31;0,775
"STOC-rozo";"PARCRI";0;0;0;0;0;0;0;12;0;"Terrestre";"Court";3;0,075
"STOC-rozo";"PARMAJ";0;0;0;0;1;1,3625;2;11,5;0,174242424242424;"Terrestre";"Court";29;0,725
"STOC-rozo";"PARNUS";0;0;0;0;0;0;0;11,5;0;"Terrestre";"Court";7;0,175
"STOC-rozo";"PASDOM";0;0;0;0;0;0;0;11,5;0;"Terrestre";"Court";9;0,225
"STOC-rozo";"PASMON";0,0125;0,125;0,25;0,375;0,45;0,4875;0,5;11;0,0555555555555556;"Terrestre";"Court";2;0,05
"STOC-rozo";"PHOPHO";0;0;0;0;0;0;0;12;0;"Terrestre";"Long";1;0,025
"STOC-rozo";"PHYCOL";0;0;0;1,25;3,4;4,625;3,5;11,5;0,333333333333333;"Terrestre";"Court";31;0,775
"STOC-rozo";"PHYLUS";0;0;0;0,75;1,1;1,4;1;11,5;0,111111111111111;"Terrestre";"Long";14;0,35
"STOC-rozo";"PICPIC";0;0;0;0;0;0;0;12;0;"Terrestre";"Court";1;0,025
"STOC-rozo";"PORANA";0;0;0;0;0;0;0;12;0;"Aquatique";"Long";2;0,05
"STOC-rozo";"PRUMOD";0;0;0;0,875;2,3;3,1;2;11,5;0,198051948051948;"Terrestre";"Court";24;0,6
"STOC-rozo";"PYRULA";0;0;0;0;0;0;0;11,5;0;"Terrestre";"Court";8;0,2
"STOC-rozo";"RALAQU";0;0;0;0;0;0;0;11,5;0;"Aquatique";"Court";7;0,175
"STOC-rozo";"REGREG";0;0;0;0;0;0;0;12;0;"Terrestre";"Court";2;0,05
"STOC-rozo";"RIPRIP";0;0;0;0;0;0;0;11,5;0;"Terrestre";"Long";8;0,2
"STOC-rozo";"SAXRUB";0;0;0;0;0;0;0;12;0;"Terrestre";"Long";5;0,125
"STOC-rozo";"SAXTOR";0;0;0;0;0;0;0;12;0;"Terrestre";"Court";10;0,25
"STOC-rozo";"SITEUR";0;0;0;0;0;0;0;12;0;"Terrestre";"Court";1;0,025
"STOC-rozo";"STUVUL";0;0;0;0;0;0;0;11,5;0;"Terrestre";"Court";10;0,25
"STOC-rozo";"SYLATR";0;0;0;1;1,85;3,8375;3;11,5;0,296703296703297;"Terrestre";"Court";28;0,7
"STOC-rozo";"SYLBOR";0;0;0;0;0,85;1;1;11,5;0,126984126984127;"Terrestre";"Long";22;0,55
"STOC-rozo";"SYLCOM";0;0;0;0;1;1,55;2;11,5;0,142857142857143;"Terrestre";"Long";24;0,6
"STOC-rozo";"SYLCUR";0;0;0;0;0;0;0;12;0;"Terrestre";"Long";2;0,05
"STOC-rozo";"TROTRO";0;0;0;0;0,55;0,8875;1;11,5;0,0954545454545455;"Terrestre";"Court";19;0,475
"STOC-rozo";"TURMER";0;0;0,25;1;2;3,0875;4;11,5;0,408333333333333;"Terrestre";"Court";31;0,775
"STOC-rozo";"TURPHI";0;0;0;0,25;1;1;1,5;11,5;0,16025641025641;"Terrestre";"Court";20;0,5
"STOC-rozo";"TURVIS";0;0;0;0;0;0;0;12;0;"Terrestre";"Court";1;0,025
"STOC-rozo";"UPUEPO";0;0;0;0;0;0;0;12;0;"Terrestre";"Long";1;0,025
"Aquatique";"ACRAGR";0;0;0;0;0;0;0;2;0;"Aquatique";"Court";1;0,0909090909090909
"Aquatique";"ACRARU";0;0;0;0;0;0;0;7,5;0;"Aquatique";"Long";1;0,0909090909090909
"Aquatique";"ACRRIS";0,174999999999999;1;3;5;7;7,475;3;4;0,833333333333333;"Aquatique";"Long";11;1
"Aquatique";"ACRSCH";1,35;10,5;14;18;21,6;23,4;3;4;0,8;"Aquatique";"Long";11;1
"Aquatique";"ACRSCI";23,6;29;36,5;43,5;48,1;50,2;4;4;1;"Aquatique";"Long";11;1
"Aquatique";"AEGCAU";0;0;0;0;0;0;0;4;0;"Terrestre";"Court";7;0,636363636363636
"Aquatique";"ALCATT";0;0;0;0;0;0;0;4;0;"Aquatique";"Court";4;0,363636363636364
"Aquatique";"ANTPRA";0;0;0;0;0;0;0;4;0;"Terrestre";"Court";4;0,363636363636364
"Aquatique";"ANTTRI";0;0;0;0;0;0;0;4;0;"Terrestre";"Long";1;0,0909090909090909
"Aquatique";"ASIOTU";0;0;0;0;0;0;0;4;0;"Terrestre";"Court";1;0,0909090909090909
"Aquatique";"CARCHL";0;0;0;0;0;0;0;4;0;"Terrestre";"Court";5;0,454545454545455
"Aquatique";"CARINA";0;0;0;0;0,8;0,95;1;4;0,111111111111111;"Terrestre";"Court";5;0,454545454545455
"Aquatique";"CARLIS";0;0;0;0;0;0;0;4;0;"Terrestre";"Court";5;0,454545454545455
"Aquatique";"CERYLA";0;0;0;0;0;0;0;4;0;"Terrestre";"Court";7;0,636363636363636
"Aquatique";"CETCET";0,1;1;1;2;2,6;2,9;2;4;0,5;"Aquatique";"Court";9;0,818181818181818
"Aquatique";"CISJUN";0;0;0;0;0;0;0;6;0;"Aquatique";"Court";1;0,0909090909090909
"Aquatique";"CUCCAN";0;0;0;0;0;0;0;4;0;"Terrestre";"Long";2;0,181818181818182
"Aquatique";"DELURB";0;0;0;0;0;0;0;4;0;"Terrestre";"Long";1;0,0909090909090909
"Aquatique";"DENMAJ";0;0;0;0;0;0;0;4;0;"Terrestre";"Court";5;0,454545454545455
"Aquatique";"EMBCIR";0;0;0;0;0;0;0;4;0;"Terrestre";"Court";1;0,0909090909090909
"Aquatique";"EMBCIT";0;0;0;0;0;0;0;5;0;"Terrestre";"Court";2;0,181818181818182
"Aquatique";"EMBSCH";1,3;4;5;7;8,2;8,8;3;4;0,75;"Aquatique";"Court";10;0,909090909090909
"Aquatique";"ERIRUB";0;0;0;0;0;0;0;4;0;"Terrestre";"Court";8;0,727272727272727
"Aquatique";"FRICOE";0;0;0;0;0;0;0;4;0;"Terrestre";"Court";3;0,272727272727273
"Aquatique";"GALCHL";0;0;0;0;0;0;0;4;0;"Aquatique";"Court";2;0,181818181818182
"Aquatique";"GARGLA";0;0;0;0;0;0;0;4;0;"Terrestre";"Court";3;0,272727272727273
"Aquatique";"HIPICT";0;0;0;0;0;0;0;4;0;"Terrestre";"Long";2;0,181818181818182
"Aquatique";"HIPPOL";0;0;0;0,25;0,7;0,925;1;4;0,25;"Terrestre";"Long";9;0,818181818181818
"Aquatique";"HIRRUS";0;0;0;0;0,8;0,95;1;4;0,111111111111111;"Terrestre";"Long";8;0,727272727272727
"Aquatique";"JYNTOR";0;0;0;0;0;0;0;4;0;"Terrestre";"Long";1;0,0909090909090909
"Aquatique";"LOCLUS";0;0;0;0;0;0;0;4;0;"Aquatique";"Long";7;0,636363636363636
"Aquatique";"LOCNAE";0;0;0;1;1;1;1;4;0,25;"Aquatique";"Long";8;0,727272727272727
"Aquatique";"LUSMEG";0,0249999999999999;0,25;0,5;1;1;1;1;4;0,25;"Terrestre";"Long";7;0,636363636363636
"Aquatique";"LUSSVE";0;0;1;4;5;5;1;4;0,5;"Aquatique";"Long";9;0,818181818181818
