"YEAR";"HABITAT";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
2004;"Terrestre";"Court";0,200069444444444;0,48132183908046;0,784090909090909;1,36572199730094;2,61609068627451
2005;"Terrestre";"Court";0,206358885017422;0,608618052014278;0,916666666666667;1,22256097560976;2,73285714285714
2006;"Terrestre";"Court";0,205308146897425;0,635005197505197;0,865;1,41817998385795;2,68642857142857
2007;"Terrestre";"Court";0;0,634722222222222;1,0297619047619;1,55555555555556;2,76962209302326
2008;"Terrestre";"Court";0,00810810810810812;0,333333333333333;0,628571428571429;0,928571428571429;1,60601604278075
2009;"Terrestre";"Court";0,239875111507583;0,612903225806452;1,03225806451613;1,52380952380952;3,15965909090909
2010;"Terrestre";"Court";0,103532338308458;0,424206349206349;0,759001161440186;1,06456820016142;2,09187456687456
2011;"Terrestre";"Court";0,165907494145199;0,660384615384615;1,07454780361757;1,46051136363636;2,6625
2012;"Terrestre";"Court";0,0367857142857143;0,30076679005817;0,575757575757576;0,928052325581395;1,68884588318086
2013;"Terrestre";"Court";0,0476190476190476;0,318435754189944;0,555555555555556;0,870967741935484;1,54166666666667
2014;"Terrestre";"Court";0,349702085402185;0,740514075887393;1,27777777777778;1,81652661064426;3,11037735849056
2015;"Terrestre";"Court";0,12;0,438235294117647;0,733333333333333;1,11923076923077;2,09895424836601
2016;"Terrestre";"Court";0,172938530734633;0,364285714285714;0,616438356164384;1,00632911392405;2,27083958020989
2017;"Terrestre";"Court";0,231666666666667;0,693430656934307;0,953703703703704;1,52941176470588;2,68333333333333
2018;"Terrestre";"Court";0,130639097744361;0,542134831460674;0,847222222222222;1,27299783549784;2,06290322580645
2019;"Terrestre";"Court";0,210884353741497;0,568627450980392;0,906976744186046;1,36065573770492;2,46470588235294
2020;"Terrestre";"Court";0,212301740812379;0,647727272727273;1;1,41463414634146;2,54827586206896
2021;"Terrestre";"Court";0,146215351812367;0,426877470355731;0,710084033613445;1,06363636363636;2,28491847826087
2022;"Terrestre";"Court";0,141908212560386;0,742857142857143;1,20408163265306;1,70301899592944;2,27590132827325
2001;"Aquatique";"Long";0,108695652173913;0,108695652173913;0,108695652173913;0,108695652173913;0,108695652173913
2002;"Aquatique";"Long";0,0740740740740741;0,0740740740740741;0,0740740740740741;0,0740740740740741;0,0740740740740741
2003;"Aquatique";"Long";0,00531249999999998;0,053125;0,10625;0,159375;0,2071875
2005;"Aquatique";"Long";0,267954545454545;0,279545454545455;0,292424242424242;0,30530303030303;0,316893939393939
2006;"Aquatique";"Long";0,0345712560386473;0,0522342995169082;0,0718599033816425;0,0914855072463768;0,109148550724638
2007;"Aquatique";"Long";0,0923409090909091;0,105227272727273;0,132380952380952;0,299107142857143;0,688839285714286
2008;"Aquatique";"Long";0,0460996902281047;0,121374260771614;0,221178589809573;0,384921925829538;0,632831815224463
2009;"Aquatique";"Long";0,086096256684492;0,247326203208556;0,426470588235294;0,432747489239598;0,438396700143472
2010;"Aquatique";"Long";0,20614983974359;0,280248397435897;0,365384615384615;0,44508547008547;0,504508547008547
2011;"Aquatique";"Long";0,216753611556982;0,238964686998395;0,263301387970919;0,361902573529412;0,584627757352941
2012;"Aquatique";"Long";0,029846256684492;0,0939171122994652;0,158823529411765;0,248958333333333;0,381145833333333
2013;"Aquatique";"Long";0,021807650862069;0,0629040948275862;0,151965725806452;0,273750443105282;0,403199220134704
2014;"Aquatique";"Long";0,228045886075949;0,34375;0,389380530973451;0,846153846153846;0,925598991172762
2015;"Aquatique";"Long";0,0591500302480339;0,19903206291591;0,30873410724157;0,519689987431923;0,959484572230014
2016;"Aquatique";"Long";0,0911172161172161;0,190934065934066;0,200805008944544;0,251544331395349;0,773587740384615
2017;"Aquatique";"Long";0,292349174250084;0,407766990291262;0,452830188679245;0,555555555555556;0,989983416252073
2018;"Aquatique";"Long";0,163281698221457;0,529411764705882;0,538461538461538;0,818181818181818;2,22692819148936
2019;"Aquatique";"Long";0,138155696625459;0,151835305481768;0,223047304730473;0,33482905982906;0,656730769230769
2020;"Aquatique";"Long";0,0172131147540984;0,172131147540984;0,247407159585146;0,313386371497752;0,443203043929436
2021;"Aquatique";"Long";0,245792452830189;0,297924528301887;0,355849056603774;0,41377358490566;0,465905660377359
2022;"Aquatique";"Long";0,325;0,325;0,325;0,325;0,325
1997;"STOC-rozo";"Long";0,218996710526316;0,221217105263158;0,223684210526316;0,240413533834586;0,25546992481203
1998;"STOC-rozo";"Long";0,185490998363339;0,193371522094926;0,202127659574468;0,215349544072948;0,227249240121581
1999;"STOC-rozo";"Long";0,145550351288056;0,169789227166276;0,19672131147541;0,240252547629597;0,279430660168365
2000;"STOC-rozo";"Long";0,0361690245718541;0,0969843633655994;0,164556962025316;0,185882084616262;0,205074694948113
2001;"STOC-rozo";"Long";0,00655737704918033;0,0606060606060606;0,138888888888889;0,230769230769231;0,399378881987578
2002;"STOC-rozo";"Long";0,00576923076923077;0,0754716981132075;0,225352112676056;0,333333333333333;0,943461538461538
2003;"STOC-rozo";"Long";0,0648313492063492;0,121106999691644;0,169856459330144;0,292753623188406;0,426282051282051
2004;"STOC-rozo";"Long";0,00338983050847458;0,0909090909090909;0,209677419354839;0,310344827586207;0,545755693581781
2005;"STOC-rozo";"Long";0,00416666666666667;0,094187675070028;0,174242424242424;0,230654761904762;0,504279279279279
2006;"STOC-rozo";"Long";0,0399728997289973;0,21832884097035;0,36;0,467391304347826;0,91025641025641
2007;"STOC-rozo";"Long";0,105128205128205;0,306451612903226;0,395833333333333;0,681818181818182;1,1572267920094
2008;"STOC-rozo";"Long";0;0,181818181818182;0,293506493506493;0,459583333333333;0,697161290322581
2009;"STOC-rozo";"Long";0,141091954022989;0,380952380952381;0,477272727272727;0,590909090909091;0,882132728304027
2010;"STOC-rozo";"Long";0,0826666666666667;0,166666666666667;0,197368421052632;0,344827586206897;0,797719298245614
2011;"STOC-rozo";"Long";0,0874384236453202;0,172511312217195;0,226666666666667;0,369325812516788;0,90036231884058
2012;"STOC-rozo";"Long";0,0578947368421053;0,199874686716792;0,27336860670194;0,458408679927667;0,525833333333333
2013;"STOC-rozo";"Long";0,0176470588235294;0,162162162162162;0,209677419354839;0,298507462686567;0,612539184952978
2014;"STOC-rozo";"Long";0,126108374384236;0,379310344827586;0,394736842105263;0,456521739130435;0,744588744588745
2015;"STOC-rozo";"Long";0,00585106382978723;0,113900634249471;0,248395721925134;0,320833333333333;0,440906645143933
