"HABITAT";"SP";"ABUND025";"ABUND25";"ABUND50";"ABUND75";"ABUND90";"ABUND975";"NB_STATION_CAPTURE";"NB_STATION";"PROP_STATION_CAPTURE";"HABITAT_SP";"MIGRATION";"nb_site";"prop_site"
"Terrestre";"LUSSVE";0;0;0;1;2,9;5,4;2;42;0,0545454545454545;"Aquatique";"Long";22;0,128654970760234
"Terrestre";"MILCAL";0;0;0;0,5;0,8;0,95;1;42;0,0161290322580645;"Terrestre";"Court";9;0,0526315789473684
"Terrestre";"MOTALB";0;0;0;0;0;0;0;37;0;"Terrestre";"Court";19;0,111111111111111
"Terrestre";"MOTCIN";0;0;0;0;0;0;0;50;0;"Terrestre";"Court";11;0,064327485380117
"Terrestre";"MOTFLA";0;0;0;0;0;0;0;42;0;"Terrestre";"Long";5;0,0292397660818713
"Terrestre";"MUSSTR";0;0;0;0;1;1,95;2;32;0,078125;"Terrestre";"Long";46;0,269005847953216
"Terrestre";"OENOEN";0;0;0;0;0;0;0;45;0;"Terrestre";"Long";3;0,0175438596491228
"Terrestre";"ORIORI";0;0;0;0;0;0;0;37;0;"Terrestre";"Long";8;0,0467836257309941
"Terrestre";"PANBIA";0;0;0;0;0;0;0;52,5;0;"Aquatique";"Court";1;0,00584795321637427
"Terrestre";"PAPALU";0;0;0;1;1;2;6;32;0,159090909090909;"Terrestre";"Court";82;0,47953216374269
"Terrestre";"PARATE";0;0;0;0;0;0;0;44;0;"Terrestre";"Court";9;0,0526315789473684
"Terrestre";"PARCAE";0;0;1;2,5;4;5,775;21;32;0,666666666666667;"Terrestre";"Court";164;0,95906432748538
"Terrestre";"PARCRI";0;0;0;0;1;1,5;3;32;0,078125;"Terrestre";"Court";57;0,333333333333333
"Terrestre";"PARMAJ";0;1;2;4,5;6,7;9;27;32;0,8;"Terrestre";"Court";169;0,988304093567251
"Terrestre";"PARNUS";0;0;0;0,25;0,7;0,925;1;42;0,0158730158730159;"Terrestre";"Court";13;0,0760233918128655
"Terrestre";"PASDOM";0;0;1;5;9,6;17,575;8;32;0,265625;"Terrestre";"Court";64;0,374269005847953
"Terrestre";"PASMON";0;0;0;0;0;0;0;46;0;"Terrestre";"Court";2;0,0116959064327485
"Terrestre";"PHOOCH";0;0;0;0;0;0,512499999999999;1;37;0,0157490079365079;"Terrestre";"Court";38;0,222222222222222
"Terrestre";"PHOPHO";0;0;0;0;1;3,925;2;37;0,0480030721966206;"Terrestre";"Long";34;0,198830409356725
"Terrestre";"PHYBON";0;0;0;1;4,4;5,7;2;43;0,0483870967741935;"Terrestre";"Long";16;0,0935672514619883
"Terrestre";"PHYCOL";0;2;5;9;13,1;18,775;28;32;0,883720930232558;"Terrestre";"Court";169;0,988304093567251
"Terrestre";"PHYLUS";0;0;0,5;4;6,9;11,275;8;32;0,259259259259259;"Terrestre";"Long";76;0,444444444444444
"Terrestre";"PHYSIB";0;0;0;0;0;0;0;43;0;"Terrestre";"Long";9;0,0526315789473684
"Terrestre";"PICDIS";0;0;0;0,25;1;1;3;32;0,12;"Terrestre";"Court";77;0,450292397660819
"Terrestre";"PICPIC";0;0;0;0;0,0999999999999996;0,775;1;32;0,0185185185185185;"Terrestre";"Court";19;0,111111111111111
"Terrestre";"PRUMOD";0;2;4;6;8,4;11;28;32;0,837209302325581;"Terrestre";"Court";163;0,953216374269006
"Terrestre";"PYRULA";0;0;2;3,75;5,6;8,2;10;32;0,412698412698413;"Terrestre";"Court";94;0,549707602339181
"Terrestre";"RALAQU";0;0;0;0;0;0;0;54;0;"Aquatique";"Court";3;0,0175438596491228
"Terrestre";"REGIGN";0;0;0;0;0;0;0;42;0;"Terrestre";"Court";31;0,181286549707602
"Terrestre";"REGREG";0;0;0;0;0;0,725;1;43;0,0161290322580645;"Terrestre";"Court";34;0,198830409356725
"Terrestre";"RIPRIP";0;0;0;1;1,6;1,9;1;54;0,0166666666666667;"Terrestre";"Long";5;0,0292397660818713
"Terrestre";"SAXRUB";0;0;0;0;0;0;0;45;0;"Terrestre";"Long";5;0,0292397660818713
"Terrestre";"SAXTOR";0;0;0;1;2;3;4;32;0,111111111111111;"Terrestre";"Court";47;0,274853801169591
"Terrestre";"SERSER";0;0;0;0;0,3;0,825;1;42;0,0181818181818182;"Terrestre";"Court";19;0,111111111111111
"Terrestre";"SITEUR";0;0;0;0;1;1;2;32;0,0681818181818182;"Terrestre";"Court";53;0,309941520467836
"Terrestre";"STRALU";0;0;0;0;0;0;0;46;0;"Terrestre";"Court";7;0,0409356725146199
"Terrestre";"STRCTO";0;0;0;0;0;0;0;30;0;"Terrestre";"Court";2;0,0116959064327485
"Terrestre";"STRTUR";0;0;0;0;0,9;1;2;32;0,0476190476190476;"Terrestre";"Long";33;0,192982456140351
