"YEAR";"BIOGEOREF";"MIGRATION";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
2010;"Atlantique";"Long";0;0,178125;0,361702127659574;0,559027777777778;3
2011;"Atlantique";"Long";0;0,0769230769230769;0,333333333333333;0,625;1,33333333333333
2012;"Atlantique";"Long";0;0,0909090909090909;0,196078431372549;0,32;0,8
2013;"Atlantique";"Long";0;0;0,152073732718894;0,29167352311996;0,908333333333334
2014;"Atlantique";"Long";0;0,0839160839160839;0,228571428571429;0,626732673267327;1,88157894736842
2015;"Atlantique";"Long";0;0,0572916666666667;0,244047619047619;0,644385026737968;1,15646186440678
2016;"Atlantique";"Long";0;0;0,15;0,383241758241758;0,620681818181818
2017;"Atlantique";"Long";0;0,0119047619047619;0,282857142857143;0,5;1,31785714285714
2018;"Atlantique";"Long";0;0,0769230769230769;0,3125;0,568627450980392;1,16666666666667
2019;"Atlantique";"Long";0;0;0,25;0,405882352941176;0,971551724137931
2020;"Atlantique";"Long";0;0;0,2;0,471212121212121;1,89375
2021;"Atlantique";"Long";0;0,0495896032831737;0,198214285714286;0,364583333333333;1
2022;"Atlantique";"Long";0;0,075;0,226422764227642;0,574835526315789;1,34583333333333
