"AGE_first";"YEAR";"BIOGEOREF";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
"AD";2018;"Atlantique";-0,150085895117541;-0,0514152202937248;0;0,0476190476190476;0,205856092436974
"JUV";2018;"Atlantique";-0,151515151515152;-0,0555555555555556;-0,00411797471174732;0,0365853658536586;0,141975308641975
"AD";2019;"Atlantique";-0,15;-0,0545454545454545;0;0,0454545454545455;0,210176470588235
"JUV";2019;"Atlantique";-0,142857142857143;-0,0476190476190477;0;0,0485436893203883;0,143070362473348
"AD";2020;"Atlantique";-0,146745098039216;-0,0545454545454545;0;0,0454545454545455;0,2
"JUV";2020;"Atlantique";-0,142857142857143;-0,0476190476190476;0;0,0493827160493828;0,142857142857143
"AD";2021;"Atlantique";-0,145969696969697;-0,0562070181625815;0;0,0454545454545455;0,212636363636363
"JUV";2021;"Atlantique";-0,142857142857143;-0,0489310448660042;-0,00452380952380954;0,0370370370370371;0,147455951096727
"AD";2022;"Atlantique";-0,173333333333333;-0,0606060606060606;-0,0117647058823529;0,0352941176470589;0,17651442096958
"JUV";2022;"Atlantique";-0,151515151515152;-0,0555555555555556;-0,0121212121212121;0,0357142857142857;0,131428571428572
"AD";1992;"National";-0,0909090909090909;-0,0178571428571428;0,0588235294117647;0,0810810810810811;0,165835084033614
"JUV";1992;"National";-0,0555555555555556;-0,00595238095238095;0,0238095238095238;0,0554605887939221;0,116071428571429
"AD";1993;"National";-0,197321428571428;-0,0348790553708586;-0,0178571428571428;0,0714285714285715;0,328801331853496
"JUV";1993;"National";-0,0784722222222222;0;0,032051282051282;0,0833333333333333;0,167613636363637
"AD";1994;"National";-0,107142857142857;-0,0178571428571428;0,0526315789473684;0,0928571428571429;0,334821428571428
"JUV";1994;"National";-0,030952380952381;0,0692640692640693;0,17283950617284;0,177328843995511;0,272727272727273
"AD";1996;"National";-0,10375;-0,0178571428571428;0,0714285714285715;0,091991341991342;0,25
"JUV";1996;"National";-0,111344537815126;0;0,0303030303030303;0,0679611650485436;0,0945454545454545
"AD";1997;"National";-0,107142857142857;-0,0178571428571428;0,0285714285714286;0,11077111383109;0,355411764705882
"JUV";1997;"National";-0,0476190476190476;-0,0476190476190476;0;0,0238095238095238;0,114395604395605
"AD";1998;"National";-0,117065663474692;-0,0526315789473684;0;0,0714285714285715;0,228977272727273
"JUV";1998;"National";-0,107142857142857;-0,0303030303030303;0,0119047619047619;0,0714285714285714;0,143606701940036
