"YEAR";"HABITAT";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup";"ESPECE"
2020;"Terrestre";2,03432835820896;2,34328358208955;2,6865671641791;3,84328358208955;4,88432835820896;"COLBUS"
2021;"Terrestre";1,60714285714286;1,8609022556391;2,14285714285714;2,32142857142857;2,48214285714286;"COLBUS"
2022;"Terrestre";1,89528917910448;2,07789179104478;2,28078358208955;2,48367537313433;2,66627798507463;"COLBUS"
1989;"Terrestre";1,2;1,2;1,2;1,2;1,2;"DENMAJ"
1990;"Terrestre";0,6;0,6;1,003125;1,76897321428571;2,74832589285714;"DENMAJ"
1991;"Terrestre";0,599933155080214;0,745738636363636;1,25822368421053;1,80098684210526;2,334375;"DENMAJ"
1992;"Terrestre";0,615;0,75;0,9;1,05;1,185;"DENMAJ"
1993;"Terrestre";0,683333333333333;0,833333333333333;0,9375;1,57894736842105;5,55789473684211;"DENMAJ"
1994;"Terrestre";0,63375;0,9375;1,11111111111111;1,57894736842105;1,65789473684211;"DENMAJ"
1995;"Terrestre";0,612272727272727;0,757575757575758;0,857142857142857;1,1945564516129;2,03917050691244;"DENMAJ"
1996;"Terrestre";0,976058467741935;1,32308467741935;1,79723502304147;2,1525974025974;2,1788961038961;"DENMAJ"
1997;"Terrestre";0,9571875;1,134375;1,3258064516129;1,62442396313364;2,09101382488479;"DENMAJ"
1998;"Terrestre";1,48336693548387;1,76915322580645;2,00892857142857;2,1525974025974;2,1788961038961;"DENMAJ"
1999;"Terrestre";1,89801136363636;2,10511363636364;2,5425219941349;4,98991935483871;10,6239919354839;"DENMAJ"
2000;"Terrestre";0,583333333333333;0,833333333333333;0,9375;1,2;1,42645161290323;"DENMAJ"
2001;"Terrestre";0,481770833333333;0,902777777777778;2,30769230769231;2,48717948717949;5,86428571428571;"DENMAJ"
2002;"Terrestre";0,684444444444444;1,5625;2,14285714285714;2,5;4,12248803827751;"DENMAJ"
2003;"Terrestre";0,655555555555556;1,26290322580645;1,70289855072464;2,14285714285714;2,41964285714286;"DENMAJ"
2004;"Terrestre";1,2;1,4375;2,15384615384615;3,1875;6,29621848739496;"DENMAJ"
2005;"Terrestre";0,925;1,546875;2,00558659217877;2,16964285714286;7,22596153846154;"DENMAJ"
2006;"Terrestre";1,08214285714286;1,58947368421053;2;2,75;6,84375;"DENMAJ"
2007;"Terrestre";1,24056338028169;1,66666666666667;2,14285714285714;3;5,45454545454545;"DENMAJ"
2008;"Terrestre";1,01666666666667;1,66666666666667;2,14285714285714;2,5;5;"DENMAJ"
2009;"Terrestre";1,065;1,71875;2,57142857142857;3,96428571428571;7,8375;"DENMAJ"
2010;"Terrestre";0,842338709677419;1,66666666666667;2,12406015037594;3;8,175;"DENMAJ"
2011;"Terrestre";1,00446428571429;1,66666666666667;2,5;3;5,53977272727273;"DENMAJ"
2012;"Terrestre";1,09475806451613;1,66666666666667;3;3,16666666666667;4,44;"DENMAJ"
2013;"Terrestre";1,04487179487179;1,875;2,14285714285714;3;5,31818181818182;"DENMAJ"
2014;"Terrestre";1,0660130033557;1,75255102040816;2,07142857142857;3;4,81730769230769;"DENMAJ"
2015;"Terrestre";0,9375;1,96875;2,61363636363636;3;4,65;"DENMAJ"
2016;"Terrestre";1,22916666666667;1,875;2,5;3;20,4;"DENMAJ"
2017;"Terrestre";1,20089285714286;1,875;2,5;3;7,5576923076923;"DENMAJ"
2018;"Terrestre";1,38214285714286;1,90699523052464;2,5;3;5;"DENMAJ"
2019;"Terrestre";1,80729166666667;2,07894736842105;2,58928571428571;3;5,325;"DENMAJ"
2020;"Terrestre";1,2444823434992;2,11466165413534;2,86363636363636;5,75;12,6785714285714;"DENMAJ"
2021;"Terrestre";1,05;2,10526315789474;2,5;3;4,8;"DENMAJ"
2022;"Terrestre";1,46071428571429;1,83333333333333;3;4,14285714285714;5,41071428571429;"DENMAJ"
1994;"Terrestre";0,46875;0,46875;0,46875;0,46875;0,46875;"DENMED"
1995;"Terrestre";1,11111111111111;1,11111111111111;1,11111111111111;1,11111111111111;1,11111111111111;"DENMED"
2003;"Terrestre";1,155;1,16538461538462;1,17692307692308;1,18846153846154;1,19884615384615;"DENMED"
2004;"Terrestre";1,2;1,2;1,2;1,2;1,2;"DENMED"
2005;"Terrestre";4;4;4;4;4;"DENMED"
2006;"Terrestre";1,875;1,875;1,875;1,875;1,875;"DENMED"
2009;"Terrestre";1,978125;2,90625;3,9375;4,96875;5,896875;"DENMED"
2010;"Terrestre";3;3;3;3;3;"DENMED"
2011;"Terrestre";1,88125;1,9375;2;2,5;2,95;"DENMED"
2012;"Terrestre";0,958180147058823;1,14430147058824;1,35110294117647;1,55790441176471;1,74402573529412;"DENMED"
2014;"Terrestre";0,9640625;1,203125;1,46875;1,734375;1,9734375;"DENMED"
2015;"Terrestre";1,875;1,875;1,875;1,875;1,875;"DENMED"
2016;"Terrestre";0,984375;1,40625;1,875;2,1875;2,46875;"DENMED"
2017;"Terrestre";3;3;3;3;3;"DENMED"
2018;"Terrestre";1,090625;2,46875;4;5,33333333333333;6,53333333333333;"DENMED"
2019;"Terrestre";0,984375;1,40625;1,875;1,9375;1,99375;"DENMED"
2020;"Terrestre";1,15178571428571;1,875;2;2,30769230769231;4,08791208791209;"DENMED"
2021;"Terrestre";1,875;1,875;2,14285714285714;2,14285714285714;2,91428571428571;"DENMED"
2022;"Terrestre";0,971754807692308;1,28004807692308;1,62259615384615;1,96514423076923;2,2734375;"DENMED"
1990;"Terrestre";0,9375;0,9375;0,9375;0,9375;0,9375;"DENMIN"
1992;"Terrestre";1,8;1,8;1,8;1,8;1,8;"DENMIN"
1993;"Terrestre";0,857142857142857;0,857142857142857;0,857142857142857;0,857142857142857;0,857142857142857;"DENMIN"
1996;"Terrestre";1,15384615384615;1,15384615384615;1,15384615384615;1,15384615384615;1,15384615384615;"DENMIN"
1998;"Terrestre";1,2;1,2;1,2;1,2;1,2;"DENMIN"
1999;"Terrestre";0,857142857142857;0,857142857142857;0,857142857142857;0,857142857142857;0,857142857142857;"DENMIN"
2002;"Terrestre";2,5;2,5;2,5;2,5;2,5;"DENMIN"
2003;"Terrestre";1,24;1,6;2;2,25;2,475;"DENMIN"
2004;"Terrestre";1,13055555555556;1,30555555555556;1,5;2,1453488372093;2,72616279069767;"DENMIN"
2005;"Terrestre";1,45903225806452;1,5258064516129;1,6;1,63333333333333;1,66333333333333;"DENMIN"
2006;"Terrestre";1,04862068965517;1,17586206896552;1,31724137931035;1,45862068965517;1,58586206896552;"DENMIN"
2007;"Terrestre";2,14285714285714;2,14285714285714;2,14285714285714;2,14285714285714;2,14285714285714;"DENMIN"
2008;"Terrestre";1,525;1,75;2;3;3,9;"DENMIN"
2009;"Terrestre";1,66911764705882;1,69117647058824;1,7156862745098;1,74019607843137;1,76225490196078;"DENMIN"
2010;"Terrestre";1,17857142857143;2,14285714285714;2,75;3;3;"DENMIN"
2011;"Terrestre";1,70833333333333;2,08333333333333;2,5;2,75;2,975;"DENMIN"
2012;"Terrestre";1,28125;1,5625;2,08333333333333;3,125;4,8125;"DENMIN"
2013;"Terrestre";2,5531914893617;2,5531914893617;2,5531914893617;2,5531914893617;2,5531914893617;"DENMIN"
2014;"Terrestre";1,47903225806452;1,7258064516129;2;2,5;2,95;"DENMIN"
2015;"Terrestre";3;3;3;3;3;"DENMIN"
2016;"Terrestre";2,0125;2,125;2,25;2,375;2,4875;"DENMIN"
2017;"Terrestre";4,28571428571429;4,28571428571429;4,28571428571429;4,28571428571429;4,28571428571429;"DENMIN"
2018;"Terrestre";1,21428571428571;2,5;2,6865671641791;2,72727272727273;2,97272727272727;"DENMIN"
2020;"Terrestre";2,05;2,5;2,5;2,72727272727273;27,2727272727273;"DENMIN"
2021;"Terrestre";2,18571428571429;2,57142857142857;3;3,16666666666667;3,31666666666667;"DENMIN"
2022;"Terrestre";1,10714285714286;1,42857142857143;1,78571428571429;2,14285714285714;2,46428571428571;"DENMIN"
2002;"Terrestre";2,18181818181818;2,18181818181818;2,18181818181818;2,18181818181818;2,18181818181818;"DRYMAR"
2003;"Terrestre";1,25;1,25;1,25;1,25;1,25;"DRYMAR"
2005;"Terrestre";1,02857142857143;1,28571428571429;1,57142857142857;1,85714285714286;2,11428571428571;"DRYMAR"
2006;"Terrestre";2,14285714285714;2,14285714285714;2,14285714285714;2,14285714285714;2,14285714285714;"DRYMAR"
2007;"Terrestre";1,66666666666667;1,66666666666667;1,66666666666667;1,66666666666667;1,66666666666667;"DRYMAR"
2008;"Terrestre";1,04375;1,4375;1,875;1,9375;1,99375;"DRYMAR"
2009;"Terrestre";0,810810810810811;0,810810810810811;0,810810810810811;0,810810810810811;0,810810810810811;"DRYMAR"
2010;"Terrestre";1,22333333333333;1,43333333333333;1,66666666666667;2,33333333333333;2,93333333333333;"DRYMAR"
2011;"Terrestre";1,10944700460829;1,45161290322581;1,73913043478261;2,72727272727273;5,67272727272727;"DRYMAR"
2012;"Terrestre";1,875;1,875;1,875;1,875;1,875;"DRYMAR"
2014;"Terrestre";0,9375;0,9375;0,9375;0,9375;0,9375;"DRYMAR"
2015;"Terrestre";2,5125;2,625;2,75;2,875;2,9875;"DRYMAR"
2016;"Terrestre";3;3;3;3;3;"DRYMAR"
2017;"Terrestre";3;3;3;3;3;"DRYMAR"
2018;"Terrestre";1,11964285714286;1,55357142857143;2,03571428571429;2,51785714285714;2,95178571428571;"DRYMAR"
2020;"Terrestre";2,18571428571429;2,57142857142857;3;3;3;"DRYMAR"
2021;"Terrestre";1,66666666666667;1,66666666666667;1,66666666666667;1,66666666666667;1,66666666666667;"DRYMAR"
1993;"Terrestre";0,588235294117647;0,588235294117647;0,588235294117647;0,588235294117647;0,588235294117647;"EMBCIR"
2001;"Terrestre";2,63157894736842;2,63157894736842;2,63157894736842;2,63157894736842;2,63157894736842;"EMBCIR"
2002;"Terrestre";0,625;2,15909090909091;2,94258373205742;3,20175438596491;3,32017543859649;"EMBCIR"
2003;"Terrestre";2,47203947368421;3,40460526315789;4,01785714285714;5,42016806722689;8,48319327731092;"EMBCIR"
2004;"Terrestre";1,1;2,08333333333333;3;5,14705882352941;7,16911764705882;"EMBCIR"
2005;"Terrestre";1,225;2,5;2,5;3,33333333333333;4,5;"EMBCIR"
2006;"Terrestre";1,54177718832891;2,45192307692308;3;7,5;10,9375;"EMBCIR"
2007;"Terrestre";1,05625;1,90625;2,75;4,5;6,93004769475358;"EMBCIR"
2008;"Terrestre";1,0297619047619;2,32142857142857;3;3,375;7,41324626865671;"EMBCIR"
2009;"Terrestre";1,71666666666667;2,21621621621622;2,5;2,72058823529412;5,00834064969271;"EMBCIR"
2010;"Terrestre";2,07307692307692;2,73076923076923;3,46153846153846;4,37782805429864;5,20248868778281;"EMBCIR"
2011;"Terrestre";1,28035714285714;2,30769230769231;4,625;10,2139037433155;64,4179104477612;"EMBCIR"
2012;"Terrestre";2,34965034965035;2,72727272727273;3;4,28571428571429;57;"EMBCIR"
2013;"Terrestre";2,60692148760331;3;4,10714285714286;5,30644649094951;24,7840909090909;"EMBCIR"
2014;"Terrestre";1,8;2,33928571428571;3;3,68159203980099;68,6044776119403;"EMBCIR"
2015;"Terrestre";1,09409340659341;2,41365777080063;2,64023210831721;3,08333333333333;87,951923076923;"EMBCIR"
2016;"Terrestre";1,59375;3;3,27380952380952;4,95006513243595;34,125;"EMBCIR"
2017;"Terrestre";2,5;2,58333333333333;2,72727272727273;3,27380952380952;77;"EMBCIR"
2018;"Terrestre";1,31868131868132;2,5;2,75590551181102;5;89,2000000000001;"EMBCIR"
2019;"Terrestre";2,24512987012987;2,82467532467532;3,54166666666667;4,36813186813187;62,6826923076923;"EMBCIR"
2020;"Terrestre";1,84464285714286;2,375;3,125;5;59,5;"EMBCIR"
2021;"Terrestre";1,85373134328358;2,14285714285714;3;4,64285714285714;64,6363636363636;"EMBCIR"
2022;"Terrestre";1,87706043956044;2,45192307692308;2,5;3,06818181818182;6,90340909090909;"EMBCIR"
1989;"Terrestre";2,415;2,55;2,7;2,85;2,985;"EMBCIT"
1990;"Terrestre";0,772727272727273;1,95909090909091;2,1875;2,55833333333333;2,9875;"EMBCIT"
1991;"Terrestre";0,746590909090909;1,2125;1,525;2,025;3,17916666666667;"EMBCIT"
1992;"Terrestre";0,833333333333333;0,916666666666667;1,2;2,40625;4,13096590909091;"EMBCIT"
1993;"Terrestre";0,857058823529412;1,3;1,66666666666667;2,22230113636364;10,31015625;"EMBCIT"
1994;"Terrestre";0,801666666666667;0,816666666666667;0,833333333333333;0,972222222222222;1,09722222222222;"EMBCIT"
1995;"Terrestre";0,602272727272727;0,703812316715543;1,11111111111111;2,15;6,75;"EMBCIT"
1996;"Terrestre";0,69702380952381;0,970238095238095;1,11263736263736;2,32371794871795;5,48237179487179;"EMBCIT"
1997;"Terrestre";1,29520672421627;1,76028921023359;2,08333333333333;2,80625;4,13096590909091;"EMBCIT"
1998;"Terrestre";1,29520672421627;1,6258064516129;3,46153846153846;5,56439393939394;7,35681818181818;"EMBCIT"
1999;"Terrestre";1,45459976105137;1,48148148148148;2,18181818181818;2,5;7;"EMBCIT"
2000;"Terrestre";0,917130365659777;1,20777027027027;1,95041816009558;4,69615384615385;13,845;"EMBCIT"
2001;"Terrestre";1,15384615384615;1,26068376068376;1,78947368421053;3,22906234351527;4,20277785098701;"EMBCIT"
2002;"Terrestre";0,777777777777778;1,6;2,14285714285714;2,72727272727273;8;"EMBCIT"
2003;"Terrestre";0,669934640522876;1,38947368421053;2;3,67521367521368;4,77727272727273;"EMBCIT"
2004;"Terrestre";0,653703703703704;1,77083333333333;3,47826086956522;5;9,375;"EMBCIT"
2005;"Terrestre";0,977564102564102;1,44009216589862;2,22222222222222;3,33333333333333;6,375;"EMBCIT"
2006;"Terrestre";1,065;1,56379310344828;2,30263157894737;3,61979166666667;13,125;"EMBCIT"
2007;"Terrestre";1,35416666666667;2,13531187122736;3;4,85;9,525;"EMBCIT"
2008;"Terrestre";0,744642857142857;2,22910216718266;3;4,36116700201207;6,2;"EMBCIT"
2009;"Terrestre";0,886486486486487;1,66666666666667;2,4;5;9;"EMBCIT"
2010;"Terrestre";1,8304347826087;2,42647058823529;2,51748251748252;3,91666666666667;6;"EMBCIT"
2011;"Terrestre";1,54838709677419;2,26495726495726;2,6865671641791;3,23913043478261;6;"EMBCIT"
2012;"Terrestre";1,51771313364055;2,1;3,07894736842105;4,84375;6;"EMBCIT"
2013;"Terrestre";1,52763157894737;2,07142857142857;2,81879194630872;4,47222222222222;7,20833333333333;"EMBCIT"
2014;"Terrestre";1,53157894736842;1,875;3;4;11,1;"EMBCIT"
2015;"Terrestre";1,74107142857143;2,5;3;3,05084745762712;17,7777777777778;"EMBCIT"
2016;"Terrestre";1,98214285714286;2,5;3;4;7;"EMBCIT"
2017;"Terrestre";1,23214285714286;2,5;3;4,16666666666667;7,875;"EMBCIT"
2018;"Terrestre";1,32440476190476;2,625;3,375;5,25;6,8625;"EMBCIT"
2019;"Terrestre";1,02678571428571;2,5;3,375;4,33928571428571;6,9375;"EMBCIT"
2020;"Terrestre";1,78333333333333;3;3;4,01785714285714;5,65;"EMBCIT"
2021;"Terrestre";1,94866071428571;2,5;3;4;8,175;"EMBCIT"
2022;"Terrestre";2,5;2,5;2,5;2,5;2,5;"EMBCIT"
1990;"Terrestre";0,949448529411765;1,05698529411765;1,17647058823529;1,65966386554622;2,09453781512605;"EMBSCH"
1991;"Terrestre";0,886488970588235;0,923713235294118;1,54017857142857;2,20714285714286;2,38071428571429;"EMBSCH"
1992;"Terrestre";1,01356132075472;1,69811320754717;2,57142857142857;4,28571428571429;4,35584415584416;"EMBSCH"
1993;"Terrestre";1,71428571428571;1,71428571428571;1,71428571428571;1,71428571428571;1,71428571428571;"EMBSCH"
1994;"Terrestre";2,30746753246753;3,78896103896104;5,43506493506493;7,08116883116883;8,56266233766234;"EMBSCH"
1995;"Terrestre";0,920391705069124;1,48963133640553;2,1221198156682;2,75460829493088;3,32384792626728;"EMBSCH"
1996;"Terrestre";2,18087557603687;2,52304147465438;2,90322580645161;3,08797653958944;3,25425219941349;"EMBSCH"
1997;"Terrestre";1,45661846496107;1,50166852057842;1,55172413793103;2,9576802507837;4,2230407523511;"EMBSCH"
1998;"Terrestre";0,910815939278937;1,16698292220114;1,45161290322581;2,90762463343108;4,21803519061584;"EMBSCH"
1999;"Terrestre";3,70194281524927;4,35813782991202;5,08724340175953;5,81634897360704;6,47254398826979;"EMBSCH"
2000;"Terrestre";0,986352357320099;1,15384615384615;1,45161290322581;2,18181818181818;5,69115479115479;"EMBSCH"
2001;"Terrestre";2,14423076923077;2,49493927125506;2,88461538461538;3,6197270471464;4,28132754342432;"EMBSCH"
2002;"Terrestre";0,940476190476191;1,34684684684685;1,97855750487329;2,14285714285714;18,375;"EMBSCH"
2003;"Terrestre";1,23774193548387;1,7258064516129;2,14285714285714;2,74747474747475;4,06985645933014;"EMBSCH"
2004;"Terrestre";1,55529953917051;2,32142857142857;3,33333333333333;6,73913043478261;20,0454545454545;"EMBSCH"
2005;"Terrestre";1,30040322580645;2,10714285714286;3;3,66071428571429;7,25;"EMBSCH"
2006;"Terrestre";1,52016129032258;2,08333333333333;3,04166666666667;4,6875;5;"EMBSCH"
2007;"Terrestre";1,6125;2,02631578947368;2,70161290322581;3,61607142857143;5;"EMBSCH"
2008;"Terrestre";1,49101382488479;1,85714285714286;2;2,94642857142857;3,9625;"EMBSCH"
2009;"Terrestre";1,34811827956989;1,46370967741935;2,59615384615385;4,29807692307692;5,8125;"EMBSCH"
2010;"Terrestre";2,415;2,5;3;3,77103786816269;4,41195652173913;"EMBSCH"
2011;"Terrestre";2,56048387096774;3,53494623655914;6,36363636363636;7,21153846153846;7,925;"EMBSCH"
2012;"Terrestre";1,58870967741935;2,36363636363636;3,47826086956522;4,60526315789474;7,68145161290323;"EMBSCH"
2013;"Terrestre";2,52840909090909;2,87878787878788;4,27536231884058;6,55434782608696;10,71875;"EMBSCH"
2014;"Terrestre";1,2875;1,58333333333333;4;5,83333333333333;9,5;"EMBSCH"
2015;"Terrestre";1,775;2,58152173913043;4,375;6,44444444444444;13,625;"EMBSCH"
2016;"Terrestre";2,0875;2,734375;3,91666666666667;5,25;10,125;"EMBSCH"
2017;"Terrestre";2,0875;2,58152173913043;4,19444444444444;8,578125;11,475;"EMBSCH"
2018;"Terrestre";2,5;2,55434782608696;3;4,5;7,7;"EMBSCH"
2019;"Terrestre";2,0625;2,625;3,5;4,55263157894737;5,84210526315789;"EMBSCH"
2020;"Terrestre";1,55;2;2,72727272727273;3;4,35;"EMBSCH"
2021;"Terrestre";4,5;4,5;4,5;5,25;5,925;"EMBSCH"
2022;"Terrestre";3,025;3,25;3,5;3,75;3,975;"EMBSCH"
1989;"Terrestre";1,645;2,05;2,5;2,95;3,355;"ERIRUB"
1990;"Terrestre";0,646666666666667;0,9375;2,14285714285714;4,4;4,98039215686275;"ERIRUB"
1991;"Terrestre";0,71375;2,1875;2,8125;3,95441176470588;5,67058823529412;"ERIRUB"
1992;"Terrestre";0,618055555555556;1,10714285714286;2,63266509433962;3,6625;4,68428571428572;"ERIRUB"
1993;"Terrestre";0,838690476190476;1,375;3,57996323529412;4,91666666666667;15,2357142857143;"ERIRUB"
1994;"Terrestre";1,74393939393939;2,2020202020202;4,04255319148936;6,85;7,80357142857143;"ERIRUB"
1995;"Terrestre";1,16571428571429;3,05555555555556;3,75;5,29411764705882;11,6818181818182;"ERIRUB"
1996;"Terrestre";1,14464285714286;2,52640845070423;3,52678571428571;4,36813186813187;5,94102564102564;"ERIRUB"
1997;"Terrestre";1,00352112676056;1,66666666666667;3,15789473684211;4,28571428571429;5,195;"ERIRUB"
1998;"Terrestre";1,60396590066716;1,98776223776224;3,03030303030303;4,8375;12,9107142857143;"ERIRUB"
1999;"Terrestre";1,43769841269841;1,78306878306878;2,18181818181818;4,10786290322581;19,921875;"ERIRUB"
2000;"Terrestre";0,802197802197802;1,62162162162162;2,22222222222222;3,4375;16,8333333333333;"ERIRUB"
2001;"Terrestre";0,919744318181818;1,97916666666667;4,60526315789474;6,82142857142857;9,0625;"ERIRUB"
2002;"Terrestre";1,56363636363636;2,5;3,57142857142857;7,5;11,8384615384615;"ERIRUB"
2003;"Terrestre";1,00580495356037;1,90625;3,24561403508772;5,25;8,1875;"ERIRUB"
2004;"Terrestre";1,2025;2,45;4,5;6,125;11,4115384615384;"ERIRUB"
2005;"Terrestre";1,12222222222222;2,31410256410256;4;6;10,875;"ERIRUB"
2006;"Terrestre";1,2;2,5;3,2;5,35714285714286;11,4285714285714;"ERIRUB"
2007;"Terrestre";1,39583333333333;2,5;3,96969696969697;6,16228070175439;9,85;"ERIRUB"
2008;"Terrestre";1,47857142857143;3;4,09090909090909;6;12,5785714285714;"ERIRUB"
2009;"Terrestre";1,38380281690141;2,5;4;6;9,27272727272727;"ERIRUB"
2010;"Terrestre";1,26428571428571;3;4,21052631578947;6;9,79545454545454;"ERIRUB"
2011;"Terrestre";1,13647959183673;3;4,86842105263158;6,8474025974026;10,725;"ERIRUB"
2012;"Terrestre";1,27277039848197;2,95833333333333;4,09090909090909;5,30284623394655;7,98913043478261;"ERIRUB"
2013;"Terrestre";0,984375;2,64763140817651;4,5;6,33928571428571;10,5744680851064;"ERIRUB"
2014;"Terrestre";1,43091397849462;2,74857954545455;4,22619047619048;6;10,6817307692308;"ERIRUB"
2015;"Terrestre";2,01785714285714;3;5;6,66666666666667;14,625;"ERIRUB"
2016;"Terrestre";2,11785714285714;3,5969387755102;5,83333333333333;8;11,035;"ERIRUB"
2017;"Terrestre";2,1;3;4,16666666666667;6,96153846153846;12,0666666666667;"ERIRUB"
2018;"Terrestre";1,50416666666667;3;5;6,60714285714286;11,6375;"ERIRUB"
2019;"Terrestre";1,6875;3,05084745762712;4,61538461538461;7;13,4727272727273;"ERIRUB"
2020;"Terrestre";1,70833333333333;3,33333333333333;6;8;11,9333333333333;"ERIRUB"
2021;"Terrestre";2;3,52941176470588;5;7,85714285714286;13,4;"ERIRUB"
2022;"Terrestre";2,06785714285714;3;5;7,5;12,8704545454545;"ERIRUB"
1990;"Terrestre";0,9375;0,9375;0,9375;0,9375;0,9375;"FICUCA"
1991;"Terrestre";0,953536184210526;1,09786184210526;1,25822368421053;1,41858552631579;1,56291118421053;"FICUCA"
1993;"Terrestre";0,9375;0,9375;0,9375;0,9375;0,9375;"FICUCA"
1994;"Terrestre";0,9375;0,9375;0,9375;0,9375;0,9375;"FICUCA"
1995;"Terrestre";1,57894736842105;1,57894736842105;1,57894736842105;1,57894736842105;1,57894736842105;"FICUCA"
2000;"Terrestre";2,18181818181818;2,18181818181818;2,18181818181818;2,18181818181818;2,18181818181818;"FICUCA"
2003;"Terrestre";3,15789473684211;3,15789473684211;3,15789473684211;3,15789473684211;3,15789473684211;"FICUCA"
2005;"Terrestre";3,20394736842105;3,61842105263158;4,07894736842105;4,53947368421053;4,95394736842105;"FICUCA"
2007;"Terrestre";2,16428571428571;2,35714285714286;2,57142857142857;2,78571428571429;2,97857142857143;"FICUCA"
2009;"Terrestre";1,51875;1,6875;1,875;1,9375;1,99375;"FICUCA"
2010;"Terrestre";1,09464285714286;1,30357142857143;1,53571428571429;1,76785714285714;1,97678571428571;"FICUCA"
2012;"Terrestre";1,5;1,5;1,5;1,5;1,5;"FICUCA"
2013;"Terrestre";2,03120805369128;2,31208053691275;2,57169005491153;3,04545454545455;3,90454545454545;"FICUCA"
2014;"Terrestre";2;2;2,76470588235294;3,77205882352941;4,42720588235294;"FICUCA"
2015;"Terrestre";1,18452380952381;2,20238095238095;3,33333333333333;14,5238095238095;24,5952380952381;"FICUCA"
2016;"Terrestre";1,09636699507389;1,32081280788177;1,57019704433498;1,81958128078818;2,04402709359606;"FICUCA"
2017;"Terrestre";4,5;4,5;4,5;4,5;4,5;"FICUCA"
2018;"Terrestre";4;4;4;4;4;"FICUCA"
2019;"Terrestre";1,36727528089888;1,54166666666667;1,77083333333333;1,96875;2,875;"FICUCA"
2020;"Terrestre";1,55;2;2,5;2,5;2,5;"FICUCA"
2021;"Terrestre";0,958180147058823;1,14430147058824;1,35110294117647;1,55790441176471;1,74402573529412;"FICUCA"
2022;"Terrestre";2,15746753246753;2,28896103896104;2,43506493506494;2,58116883116883;2,71266233766234;"FICUCA"
1989;"Terrestre";1,2;1,2;1,2;1,2;1,2;"FRICOE"
1990;"Terrestre";0,63;1,2;1,21212121212121;2,8125;5,11904761904762;"FRICOE"
1991;"Terrestre";0,744705882352941;1,36363636363636;1,5;1,875;3,87301587301587;"FRICOE"
1992;"Terrestre";0,8275;1,09090909090909;1,2;1,66666666666667;2,42857142857143;"FRICOE"
1993;"Terrestre";0,996875;1,36111111111111;1,94444444444444;3,42207792207792;5,63571428571428;"FRICOE"
1994;"Terrestre";0,721040189125296;1,60130718954248;1,8375;3,57142857142857;7,95;"FRICOE"
1995;"Terrestre";0,702317290552585;1,11111111111111;1,45161290322581;3,75;10,5714285714286;"FRICOE"
1996;"Terrestre";0,9609375;1,99862637362637;2,81349206349206;3,28787878787879;5,88690476190476;"FRICOE"
1997;"Terrestre";1,07837301587302;1,17777777777778;1,328125;2,24094567404427;4,04366197183099;"FRICOE"
1998;"Terrestre";0,566363636363636;1,5375;2,17741935483871;3,12121212121212;3,53571428571429;"FRICOE"
1999;"Terrestre";0,597222222222222;1,14247311827957;1,875;4,65584415584416;7,19318181818182;"FRICOE"
2000;"Terrestre";0,965811965811966;1,22596153846154;1,75267379679144;3,18888888888889;7,15972222222222;"FRICOE"
2001;"Terrestre";0,985243055555556;1,37717121588089;2,75;3,8125;5,83928571428571;"FRICOE"
2002;"Terrestre";1,04571428571429;2,14285714285714;2,72727272727273;3,19164989939638;7,81222458688032;"FRICOE"
2003;"Terrestre";0,872268907563025;1,25;3,75;5;7,5;"FRICOE"
2004;"Terrestre";1,09775641025641;1,93256578947368;3;4,16666666666667;7,70923913043478;"FRICOE"
2005;"Terrestre";1,05133928571429;2,45;3,75;5,32563025210084;8,45454545454545;"FRICOE"
2006;"Terrestre";0,967857142857143;2,05429948109711;3;5,27667984189723;8,01730769230769;"FRICOE"
2007;"Terrestre";0,985802107728337;2;2,86363636363636;3,75;6,30789473684211;"FRICOE"
2008;"Terrestre";1,12888888888889;2;2,51748251748252;5;8,83636363636363;"FRICOE"
2009;"Terrestre";1,205;2;3;5;7,5472027972028;"FRICOE"
2010;"Terrestre";1,11895161290323;2,36470588235294;3;5,80434782608696;11,515625;"FRICOE"
2011;"Terrestre";1,44694736842105;2,16898954703833;3;4,80769230769231;11,85;"FRICOE"
2012;"Terrestre";1,46752971137521;2,7466326902075;3,875;6;12;"FRICOE"
2013;"Terrestre";1,06071428571429;2;3;4,51492537313433;12,15;"FRICOE"
2014;"Terrestre";1,17628205128205;2,5;3;4,18062200956938;8,7109375;"FRICOE"
2015;"Terrestre";1,68256578947368;2,5;3;4,44512195121951;11,21875;"FRICOE"
2016;"Terrestre";1,51776315789474;2,5;3;5,75;11,1071428571429;"FRICOE"
2017;"Terrestre";1,66666666666667;2,5;3,125;5;13,5;"FRICOE"
2018;"Terrestre";1,94438235625332;2,87795275590551;3,125;6;12,421875;"FRICOE"
2019;"Terrestre";1,55833333333333;2,5;3;4,3816631130064;12,03125;"FRICOE"
2020;"Terrestre";2,03157894736842;3;3,33333333333333;5,37313432835821;8,87121212121212;"FRICOE"
2021;"Terrestre";1,81709558823529;2,5;4,28571428571429;5,99477351916376;12,7890625;"FRICOE"
2022;"Terrestre";1,2425;2,32142857142857;3;5;9,3375;"FRICOE"
1989;"Terrestre";1,2;1,2;1,2;1,2;1,2;"GARGLA"
1990;"Terrestre";0,93;1,8;1,81818181818182;2,8125;3,17410714285714;"GARGLA"
