"YEAR";"ESPECE";"MIGRATION";"BIOGEOREF";"CIinf";"CIquart_inf";"med";"CIquart_sup";"CIsup"
2004;"ACRSCI";"Long";"Atlantique";0;0;0;0,125;0,4775
2005;"ACRSCI";"Long";"Atlantique";0;0;0,0555555555555556;0,357142857142857;0,514957264957265
2006;"ACRSCI";"Long";"Atlantique";0;0;0;0,120065789473684;0,3415
2007;"ACRSCI";"Long";"Atlantique";0;0;0,0416666666666667;0,0894736842105263;0,954166666666667
2008;"ACRSCI";"Long";"Atlantique";0;0;0;0,213235294117647;0,822368421052632
2009;"ACRSCI";"Long";"Atlantique";0;0;0,146367521367521;0,294683257918552;4,125
2010;"ACRSCI";"Long";"Atlantique";0;0;0;0,429054054054054;1,3125
2011;"ACRSCI";"Long";"Atlantique";0;0;0;0,0647773279352227;0,382987012987013
2012;"ACRSCI";"Long";"Atlantique";0;0;0,106979405034325;0,333333333333333;0,863636363636364
2013;"ACRSCI";"Long";"Atlantique";0;0;0;0,104946524064171;0,454605263157895
2014;"ACRSCI";"Long";"Atlantique";0;0;0;0,1015625;0,280555555555555
2015;"ACRSCI";"Long";"Atlantique";0;0;0,0703703703703704;0,270833333333333;0,792021276595745
2016;"ACRSCI";"Long";"Atlantique";0;0;0;0,137931034482759;0,404897959183673
2017;"ACRSCI";"Long";"Atlantique";0;0;0;0,310344827586207;0,593181818181818
2018;"ACRSCI";"Long";"Atlantique";0;0;0;0,175;0,849999999999999
2019;"ACRSCI";"Long";"Atlantique";0;0;0;0,1875;0,794117647058824
2020;"ACRSCI";"Long";"Atlantique";0;0;0,117647058823529;0,229323308270677;1
2021;"ACRSCI";"Long";"Atlantique";0;0;0;0,0916666666666667;0,5
2022;"ACRSCI";"Long";"Atlantique";0;0;0,0116279069767442;0,17;0,381666666666667
2011;"ACTHYP";"Long";"Atlantique";0;0;0;0;0
1990;"ANTTRI";"Long";"Atlantique";0;0;0;0;0
1993;"ANTTRI";"Long";"Atlantique";0;0;0;0;0
1995;"ANTTRI";"Long";"Atlantique";0;0;0;0;0
1999;"ANTTRI";"Long";"Atlantique";0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333
2000;"ANTTRI";"Long";"Atlantique";7,25;7,25;7,25;7,25;7,25
2001;"ANTTRI";"Long";"Atlantique";0;0;0;0;0
2002;"ANTTRI";"Long";"Atlantique";0,0374999999999999;0,375;0,75;1,125;1,4625
2003;"ANTTRI";"Long";"Atlantique";0;0;0;0;0
2004;"ANTTRI";"Long";"Atlantique";0;0;0;1;1,9
2005;"ANTTRI";"Long";"Atlantique";0,214285714285714;0,857142857142857;1,57142857142857;2,28571428571429;2,92857142857143
2006;"ANTTRI";"Long";"Atlantique";0;0;0;0,25;0,925
2007;"ANTTRI";"Long";"Atlantique";0;0;0;0,5;1,85
2008;"ANTTRI";"Long";"Atlantique";0;0;0;0,5;0,9125
2009;"ANTTRI";"Long";"Atlantique";0;0;0;0,5;1,4
2010;"ANTTRI";"Long";"Atlantique";0;0;0;0,5;0,95
2011;"ANTTRI";"Long";"Atlantique";0;0;0;0;0
2012;"ANTTRI";"Long";"Atlantique";0,0749999999999997;0,75;1,5;2,25;2,925
2013;"ANTTRI";"Long";"Atlantique";0,05;0,5;1;1,5;1,95
2014;"ANTTRI";"Long";"Atlantique";0;0;0;0;2,7
2015;"ANTTRI";"Long";"Atlantique";0;0;0;0,5;3,125
2016;"ANTTRI";"Long";"Atlantique";0;0;0;0;0
2017;"ANTTRI";"Long";"Atlantique";0;0;0,166666666666667;0,833333333333333;1
2018;"ANTTRI";"Long";"Atlantique";0;0;0;0,375;1,3875
2019;"ANTTRI";"Long";"Atlantique";0;0;0;0;0,9
2020;"ANTTRI";"Long";"Atlantique";0;0;0;0,666666666666667;1,6375
2021;"ANTTRI";"Long";"Atlantique";0;0;0;0;0,55
2022;"ANTTRI";"Long";"Atlantique";0;0;0;1;1,9
2004;"APUAPU";"Long";"Atlantique";0;0;0;0;0
2008;"APUAPU";"Long";"Atlantique";0;0;0;0;0
2009;"APUAPU";"Long";"Atlantique";0;0;0;0;0
2012;"APUAPU";"Long";"Atlantique";0;0;0;0;0
2005;"CAPEUR";"Long";"Atlantique";0;0;0;0;0
2008;"CAPEUR";"Long";"Atlantique";0,0249999999999999;0,25;0,5;0,75;0,975
2009;"CAPEUR";"Long";"Atlantique";0;0;0;0;0
2010;"CAPEUR";"Long";"Atlantique";0;0;0;0;0
2011;"CAPEUR";"Long";"Atlantique";0;0;0;0;0
2012;"CAPEUR";"Long";"Atlantique";0;0;0;0;0
2013;"CAPEUR";"Long";"Atlantique";0,666666666666667;0,666666666666667;0,666666666666667;0,666666666666667;0,666666666666667
2014;"CAPEUR";"Long";"Atlantique";0;0;0;0;0
2015;"CAPEUR";"Long";"Atlantique";0;0;0;0;0
2016;"CAPEUR";"Long";"Atlantique";0;0;0;0;0
2017;"CAPEUR";"Long";"Atlantique";0;0;0;0;0
2018;"CAPEUR";"Long";"Atlantique";0;0;0;0;0
2019;"CAPEUR";"Long";"Atlantique";0;0;0;0;0
2020;"CAPEUR";"Long";"Atlantique";0;0;0;0;0
2021;"CAPEUR";"Long";"Atlantique";0;0;0;0;0
2022;"CAPEUR";"Long";"Atlantique";0;0;0;0;0
2001;"CUCCAN";"Long";"Atlantique";0;0;0;0;0
2004;"CUCCAN";"Long";"Atlantique";0;0;0;0;0
2007;"CUCCAN";"Long";"Atlantique";0;0;0;0;0
2013;"CUCCAN";"Long";"Atlantique";0;0;0;0;0
2015;"CUCCAN";"Long";"Atlantique";0;0;0;0;0
2018;"CUCCAN";"Long";"Atlantique";0;0;0;0;0
2021;"CUCCAN";"Long";"Atlantique";0;0;0;0;0
2007;"DELURB";"Long";"Atlantique";0;0;0;0;0
2009;"DELURB";"Long";"Atlantique";0;0;0;0;0
2013;"DELURB";"Long";"Atlantique";0;0;0;0;0
2015;"DELURB";"Long";"Atlantique";0;0;0;0;0
2020;"DELURB";"Long";"Atlantique";0,2;0,2;0,2;0,2;0,2
2007;"FICUCA";"Long";"Atlantique";0;0;0;0;0
2009;"FICUCA";"Long";"Atlantique";0;0;0;0;0
2010;"FICUCA";"Long";"Atlantique";0;0;0;0;0
2013;"FICUCA";"Long";"Atlantique";0;0;0;0;0
2014;"FICUCA";"Long";"Atlantique";0;0;0;0;0
2015;"FICUCA";"Long";"Atlantique";1;1;1;1;1
2016;"FICUCA";"Long";"Atlantique";0;0;0;0;0
2018;"FICUCA";"Long";"Atlantique";0;0;0;0;0
2019;"FICUCA";"Long";"Atlantique";0;0;0;0;0
2020;"FICUCA";"Long";"Atlantique";0;0;0;0;0
2021;"FICUCA";"Long";"Atlantique";0;0;0;0;0
2016;"FICUCAHYP";"Long";"Atlantique";0;0;0;0;0
2002;"HIPICT";"Long";"Atlantique";0;0;0;0;0
2005;"HIPICT";"Long";"Atlantique";0,0125;0,125;0,25;0,375;0,4875
2006;"HIPICT";"Long";"Atlantique";0;0;0;0;0
2007;"HIPICT";"Long";"Atlantique";0;0;0;0;0
2008;"HIPICT";"Long";"Atlantique";0;0;0;0;0
2010;"HIPICT";"Long";"Atlantique";0;0;0;0;0
2011;"HIPICT";"Long";"Atlantique";0;0;0;0,0416666666666667;0,154166666666667
2012;"HIPICT";"Long";"Atlantique";0;0;0;0;0
2013;"HIPICT";"Long";"Atlantique";0;0;0;0;0
2014;"HIPICT";"Long";"Atlantique";0;0;0;0;0
2015;"HIPICT";"Long";"Atlantique";0;0;0;0;0
2016;"HIPICT";"Long";"Atlantique";0;0;0;0;0
2017;"HIPICT";"Long";"Atlantique";0;0;0;0;0
2018;"HIPICT";"Long";"Atlantique";0;0;0;0;0
2019;"HIPICT";"Long";"Atlantique";0;0;0;0;0
2021;"HIPICT";"Long";"Atlantique";0;0;0;0;0
2022;"HIPICT";"Long";"Atlantique";0;0;0;0;0
1990;"HIPPOL";"Long";"Atlantique";0,00833333333333334;0,0833333333333333;0,166666666666667;0,183333333333333;0,198333333333333
1991;"HIPPOL";"Long";"Atlantique";0;0;0;0;0
1992;"HIPPOL";"Long";"Atlantique";0,00555555555555556;0,0555555555555556;0,111111111111111;0,170940170940171;0,224786324786325
1993;"HIPPOL";"Long";"Atlantique";0;0;0;0;0
1994;"HIPPOL";"Long";"Atlantique";0,155952380952381;0,273809523809524;0,404761904761905;0,535714285714286;0,653571428571429
1995;"HIPPOL";"Long";"Atlantique";0;0;0;0,05;0,095
1996;"HIPPOL";"Long";"Atlantique";0;0;0;0;0
1997;"HIPPOL";"Long";"Atlantique";0;0;0;0;0
1998;"HIPPOL";"Long";"Atlantique";0;0;0;0;0
1999;"HIPPOL";"Long";"Atlantique";0;0;0;0;0
2000;"HIPPOL";"Long";"Atlantique";0;0;0,0384615384615385;0,307692307692308;0,930769230769231
2001;"HIPPOL";"Long";"Atlantique";0;0;0;0,09375;0,333806818181818
2002;"HIPPOL";"Long";"Atlantique";0;0;0;0,1875;0,370535714285714
2003;"HIPPOL";"Long";"Atlantique";0;0;0,208333333333333;0,333333333333333;0,76875
2004;"HIPPOL";"Long";"Atlantique";0;0;0,125;0,300646551724138;0,65625
2005;"HIPPOL";"Long";"Atlantique";0;0;0,214285714285714;0,333333333333333;0,542857142857143
2006;"HIPPOL";"Long";"Atlantique";0;0;0,236111111111111;0,4375;1
2007;"HIPPOL";"Long";"Atlantique";0;0;0;0,181006493506494;1,07916666666667
2008;"HIPPOL";"Long";"Atlantique";0;0;0;0,372159090909091;2
2009;"HIPPOL";"Long";"Atlantique";0;0;0;0,14;0,863636363636363
2010;"HIPPOL";"Long";"Atlantique";0;0;0,133333333333333;0,379076086956522;1,36666666666666
2011;"HIPPOL";"Long";"Atlantique";0;0;0,136363636363636;0,30952380952381;0,798461538461538
2012;"HIPPOL";"Long";"Atlantique";0;0;0;0,0980861244019139;0,379710144927536
2013;"HIPPOL";"Long";"Atlantique";0;0;0;0,052536231884058;0,304200819672131
2014;"HIPPOL";"Long";"Atlantique";0;0;0;0,212242562929062;1,2625
2015;"HIPPOL";"Long";"Atlantique";0;0;0;0,240384615384615;0,674999999999999
2016;"HIPPOL";"Long";"Atlantique";0;0;0;0,125;0,714285714285714
2017;"HIPPOL";"Long";"Atlantique";0;0;0,0384615384615385;0,333333333333333;1,375
2018;"HIPPOL";"Long";"Atlantique";0;0;0;0,175;0,486666666666666
2019;"HIPPOL";"Long";"Atlantique";0;0;0;0,229166666666667;0,464460784313725
2020;"HIPPOL";"Long";"Atlantique";0;0;0;0,235576923076923;0,677083333333332
2021;"HIPPOL";"Long";"Atlantique";0;0;0;0,174242424242424;1
2022;"HIPPOL";"Long";"Atlantique";0;0;0;0,284313725490196;0,816666666666666
1990;"HIRRUS";"Long";"Atlantique";0;0;0;0;0
1991;"HIRRUS";"Long";"Atlantique";0;0;0;0;0
1994;"HIRRUS";"Long";"Atlantique";0;0;0;0;0
2000;"HIRRUS";"Long";"Atlantique";1,66666666666667;1,66666666666667;1,66666666666667;1,66666666666667;1,66666666666667
2001;"HIRRUS";"Long";"Atlantique";0;0;0;0,25;0,925
2002;"HIRRUS";"Long";"Atlantique";0;0;0,166666666666667;1,25;3,725
2003;"HIRRUS";"Long";"Atlantique";0;0;0;0;0,3
2004;"HIRRUS";"Long";"Atlantique";0;0;0;0,05;0,7225
2005;"HIRRUS";"Long";"Atlantique";0;0;0;0,6;2,98333333333333
2006;"HIRRUS";"Long";"Atlantique";0;0;1;1;7,3
2007;"HIRRUS";"Long";"Atlantique";0;0;0;0,75;1,85
2008;"HIRRUS";"Long";"Atlantique";0;0;0;0;0,85
2009;"HIRRUS";"Long";"Atlantique";0;0;0,0833333333333333;0,25;0,475
2010;"HIRRUS";"Long";"Atlantique";0;0;0;0;0
2011;"HIRRUS";"Long";"Atlantique";0;0;0,4;0,85;0,985
2012;"HIRRUS";"Long";"Atlantique";0,5375;0,875;1,25;1,625;1,9625
2013;"HIRRUS";"Long";"Atlantique";0;0;0;0;0
2014;"HIRRUS";"Long";"Atlantique";0;0;0;0;0
2015;"HIRRUS";"Long";"Atlantique";0;0;0;0;0
2016;"HIRRUS";"Long";"Atlantique";0;0;0;0;0
2017;"HIRRUS";"Long";"Atlantique";0,05;0,5;1;1,5;1,95
2018;"HIRRUS";"Long";"Atlantique";0,0499999999999998;0,5;1;1,5;1,95
2019;"HIRRUS";"Long";"Atlantique";0;0;0;1,5;2,85
2020;"HIRRUS";"Long";"Atlantique";0,00499999999999998;0,05;0,1;0,15;0,195
2021;"HIRRUS";"Long";"Atlantique";0;0;0;0;0
2022;"HIRRUS";"Long";"Atlantique";0;0;0;0;0
2018;"IXOMIN";"Long";"Atlantique";0;0;0;0;0
2004;"JYNTOR";"Long";"Atlantique";0;0;0;0;0
2005;"JYNTOR";"Long";"Atlantique";0;0;0;0,25;0,475
2007;"JYNTOR";"Long";"Atlantique";0;0;0;0;0
2008;"JYNTOR";"Long";"Atlantique";0;0;0;0;0
2009;"JYNTOR";"Long";"Atlantique";0,341666666666667;0,416666666666667;0,5;0,583333333333333;0,658333333333333
2010;"JYNTOR";"Long";"Atlantique";0,0249999999999999;0,25;0,5;0,75;0,975
2011;"JYNTOR";"Long";"Atlantique";0;0;0;0,5;0,95
2012;"JYNTOR";"Long";"Atlantique";0;0;0;0;0
2013;"JYNTOR";"Long";"Atlantique";0;0;0;0;0
2015;"JYNTOR";"Long";"Atlantique";0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333;0,333333333333333
2016;"JYNTOR";"Long";"Atlantique";0;0;0;0;0
2017;"JYNTOR";"Long";"Atlantique";0;0;0;0;0
2019;"JYNTOR";"Long";"Atlantique";0;0;0;0;0
2000;"LANRIO";"Long";"Atlantique";0,8;0,8;0,8;0,8;0,8
2001;"LANRIO";"Long";"Atlantique";0,675;0,75;0,833333333333333;0,916666666666667;0,991666666666667
2002;"LANRIO";"Long";"Atlantique";0,0416666666666665;0,416666666666667;0,833333333333333;1,25;1,625
2004;"LANRIO";"Long";"Atlantique";0;0;0;1,5;2,85
2005;"LANRIO";"Long";"Atlantique";0,0749999999999997;0,75;1,5;2,25;2,925
2006;"LANRIO";"Long";"Atlantique";0,51875;0,6875;0,875;1,0625;1,23125
2007;"LANRIO";"Long";"Atlantique";0;0;0;0;0
2008;"LANRIO";"Long";"Atlantique";0;0;0;0;0
2009;"LANRIO";"Long";"Atlantique";0,0166666666666666;0,166666666666667;0,333333333333333;0,5;0,65
2010;"LANRIO";"Long";"Atlantique";0,0312499999999999;0,3125;0,625;0,9375;1,21875
2011;"LANRIO";"Long";"Atlantique";0;0;0;0;0
2012;"LANRIO";"Long";"Atlantique";0;0;0;0;0
2013;"LANRIO";"Long";"Atlantique";0;0;0;0,333333333333333;0,633333333333333
2014;"LANRIO";"Long";"Atlantique";0;0;0;0,0625;0,23125
2015;"LANRIO";"Long";"Atlantique";0;0;0;0;0
2016;"LANRIO";"Long";"Atlantique";0;0;0;0,0833333333333333;0,308333333333333
2017;"LANRIO";"Long";"Atlantique";0;0;0;0;0
2018;"LANRIO";"Long";"Atlantique";0,0416666666666665;0,416666666666667;0,833333333333333;1,25;1,625
2019;"LANRIO";"Long";"Atlantique";0;0;0;0;0,45
2020;"LANRIO";"Long";"Atlantique";0;0;0;0;0
2021;"LANRIO";"Long";"Atlantique";0;0;0;0,5;0,95
2022;"LANRIO";"Long";"Atlantique";0;0;0;0,25;1
2007;"LANSEN";"Long";"Atlantique";0;0;0;0;0
2012;"LANSEN";"Long";"Atlantique";0;0;0;0;0
1993;"LOCLUS";"Long";"Atlantique";0;0;0;0;0
2012;"LOCLUS";"Long";"Atlantique";0;0;0;0;0
2000;"LOCNAE";"Long";"Atlantique";0,666666666666667;0,666666666666667;0,666666666666667;0,666666666666667;0,666666666666667
2001;"LOCNAE";"Long";"Atlantique";0;0;0;0;0
2002;"LOCNAE";"Long";"Atlantique";0,0749999999999997;0,75;1,5;2,25;2,925
2003;"LOCNAE";"Long";"Atlantique";0;0;0;0,25;0,925
2004;"LOCNAE";"Long";"Atlantique";0;0;0;0;0
2005;"LOCNAE";"Long";"Atlantique";0;0;0,4;1;1,9
2006;"LOCNAE";"Long";"Atlantique";0;0;0;0;0
2007;"LOCNAE";"Long";"Atlantique";0;0;0;0;0
2008;"LOCNAE";"Long";"Atlantique";0;0;0;0;1,8
2009;"LOCNAE";"Long";"Atlantique";0;0;0;0,5;2,75
2010;"LOCNAE";"Long";"Atlantique";0;0;0;0;0,35
2011;"LOCNAE";"Long";"Atlantique";0;0;0;0,5;0,9
2012;"LOCNAE";"Long";"Atlantique";0;0;0;0,125;0,70625
2013;"LOCNAE";"Long";"Atlantique";0;0;0;0,5;1,8
2014;"LOCNAE";"Long";"Atlantique";0;0;0;0,5;0,95
2015;"LOCNAE";"Long";"Atlantique";0;0;0;0,5;1
2016;"LOCNAE";"Long";"Atlantique";0;0;0;0;0,425
2017;"LOCNAE";"Long";"Atlantique";0;0;0;0,1;0,88
2018;"LOCNAE";"Long";"Atlantique";0;0;0;0,25;0,925
2019;"LOCNAE";"Long";"Atlantique";0,0125;0,125;0,25;0,375;0,4875
2020;"LOCNAE";"Long";"Atlantique";0;0;0;0;0
2021;"LOCNAE";"Long";"Atlantique";0;0;0;0;0
2022;"LOCNAE";"Long";"Atlantique";0;0;0;0;0
1990;"LUSMEG";"Long";"Atlantique";0,162307692307692;0,238461538461538;0,355555555555556;0,5;0,65
1991;"LUSMEG";"Long";"Atlantique";0,0285714285714286;0,285714285714286;0,5;0,5;0,738235294117647
1992;"LUSMEG";"Long";"Atlantique";0;0;0,19047619047619;0,413793103448276;0,641379310344828
1993;"LUSMEG";"Long";"Atlantique";0,01875;0,1875;0,402777777777778;0,630952380952381;0,834523809523809
1994;"LUSMEG";"Long";"Atlantique";0,178947368421053;0,368421052631579;0,578947368421053;0,789473684210526;0,978947368421053
1995;"LUSMEG";"Long";"Atlantique";0;0;0;0,28;0,532
1996;"LUSMEG";"Long";"Atlantique";0,25;0,25;0,25;0,25;0,25
1997;"LUSMEG";"Long";"Atlantique";1,5;1,5;1,5;1,5;1,5
1998;"LUSMEG";"Long";"Atlantique";0,0187499999999999;0,1875;0,375;0,5625;0,73125
1999;"LUSMEG";"Long";"Atlantique";0,0136363636363636;0,136363636363636;0,272727272727273;0,414141414141414;0,541414141414141
2000;"LUSMEG";"Long";"Atlantique";0,0208333333333334;0,208333333333333;0,416666666666667;0,458333333333333;0,495833333333333
2001;"LUSMEG";"Long";"Atlantique";0,147142857142857;0,185714285714286;0,339130434782609;0,58596837944664;0,876778656126482
2002;"LUSMEG";"Long";"Atlantique";0;0,222222222222222;0,5;0,571428571428571;1,4
2003;"LUSMEG";"Long";"Atlantique";0;0,166666666666667;0,5;0,923076923076923;1,18571428571429
2004;"LUSMEG";"Long";"Atlantique";0;0;0,4;1;2,4375
2005;"LUSMEG";"Long";"Atlantique";0;0,277777777777778;0,555555555555556;1;1,76666666666667
2006;"LUSMEG";"Long";"Atlantique";0;0,229166666666667;0,5;0,916666666666667;1,5725
2007;"LUSMEG";"Long";"Atlantique";0;0;0,17156862745098;0,44375;1,08308823529412
2008;"LUSMEG";"Long";"Atlantique";0;0,0833333333333333;0,333333333333333;0,5;1,50714285714286
2009;"LUSMEG";"Long";"Atlantique";0;0;0,307692307692308;0,5;1,12857142857143
2010;"LUSMEG";"Long";"Atlantique";0;0;0,2;0,466666666666667;2,3
2011;"LUSMEG";"Long";"Atlantique";0;0,0714285714285714;0,454545454545455;0,9;2
2012;"LUSMEG";"Long";"Atlantique";0;0;0;0,428571428571429;1,5
2013;"LUSMEG";"Long";"Atlantique";0;0;0;0,298148148148148;0,609999999999999
2014;"LUSMEG";"Long";"Atlantique";0;0;0,25;0,366666666666667;1,13333333333333
2015;"LUSMEG";"Long";"Atlantique";0;0;0,2;0,583333333333333;2
2016;"LUSMEG";"Long";"Atlantique";0;0;0,215384615384615;0,5;2
2017;"LUSMEG";"Long";"Atlantique";0;0;0,2;0,732142857142857;3
2018;"LUSMEG";"Long";"Atlantique";0;0,166666666666667;0,354166666666667;0,55952380952381;1,89
2019;"LUSMEG";"Long";"Atlantique";0;0;0,25;0,666666666666667;1,3
2020;"LUSMEG";"Long";"Atlantique";0;0;0,25;0,571428571428571;2,3
2021;"LUSMEG";"Long";"Atlantique";0;0;0,313725490196078;0,525;1
2022;"LUSMEG";"Long";"Atlantique";0;0;0,25;0,7;2,28365384615385
1999;"LUSSVE";"Long";"Atlantique";0;0;0;0;0
2000;"LUSSVE";"Long";"Atlantique";0;0;0;0;0
2001;"LUSSVE";"Long";"Atlantique";0;0;0;0;0
2002;"LUSSVE";"Long";"Atlantique";0,25;0,25;0,25;0,25;0,25
2003;"LUSSVE";"Long";"Atlantique";0,307692307692308;0,307692307692308;0,307692307692308;0,307692307692308;0,307692307692308
2004;"LUSSVE";"Long";"Atlantique";0,0125;0,125;0,25;0,375;0,4875
2005;"LUSSVE";"Long";"Atlantique";0,0125;0,125;0,25;0,375;0,4875
2006;"LUSSVE";"Long";"Atlantique";0,166666666666667;0,166666666666667;0,166666666666667;0,166666666666667;0,166666666666667
2007;"LUSSVE";"Long";"Atlantique";0;0;0;0;0
2008;"LUSSVE";"Long";"Atlantique";0,00416666666666665;0,0416666666666667;0,0833333333333333;0,125;0,1625
2009;"LUSSVE";"Long";"Atlantique";0;0;0;0;0
2010;"LUSSVE";"Long";"Atlantique";0,00937499999999999;0,09375;0,3125;0,625;0,9625
2011;"LUSSVE";"Long";"Atlantique";0;0;0,666666666666667;3;4,8
2012;"LUSSVE";"Long";"Atlantique";0,00178571428571428;0,0178571428571429;0,0357142857142857;0,0535714285714286;0,0696428571428571
2013;"LUSSVE";"Long";"Atlantique";0,0125;0,125;0,25;0,375;0,4875
2014;"LUSSVE";"Long";"Atlantique";0,025;0,25;0,523809523809524;0,785714285714286;0,978571428571429
2015;"LUSSVE";"Long";"Atlantique";0;0;0,125;0,3125;0,48125
2016;"LUSSVE";"Long";"Atlantique";0;0;0;0,277777777777778;0,527777777777778
2017;"LUSSVE";"Long";"Atlantique";0,0499999999999998;0,5;1;1,5;1,95
2018;"LUSSVE";"Long";"Atlantique";0;0;0;0;0
2019;"LUSSVE";"Long";"Atlantique";0;0;0;0;0
2020;"LUSSVE";"Long";"Atlantique";0;0;0;0,0909090909090909;0,172727272727273
2021;"LUSSVE";"Long";"Atlantique";0;0;0;0;0
2022;"LUSSVE";"Long";"Atlantique";0;0;0;1,5;2,85
2007;"LUSSVECYA";"Long";"Atlantique";0;0;0;0;0
2002;"LUSSVENAM";"Long";"Atlantique";0;0;0;0;0
2003;"LUSSVENAM";"Long";"Atlantique";0;0;0;0;0
2007;"LUSSVENAM";"Long";"Atlantique";0;0;0;0;0
2008;"LUSSVENAM";"Long";"Atlantique";0;0;0;0;0
2009;"LUSSVENAM";"Long";"Atlantique";0,2;0,2;0,2;0,2;0,2
2010;"LUSSVENAM";"Long";"Atlantique";0;0;0;0;0
2016;"LUSSVENAM";"Long";"Atlantique";0;0;0;0;0
2017;"LUSSVENAM";"Long";"Atlantique";0;0;0;0;0
2018;"LUSSVENAM";"Long";"Atlantique";0;0;0;0;0
2019;"LUSSVENAM";"Long";"Atlantique";0,166666666666667;0,166666666666667;0,166666666666667;0,166666666666667;0,166666666666667
2020;"LUSSVENAM";"Long";"Atlantique";0;0;0;0;0
2021;"LUSSVENAM";"Long";"Atlantique";0;0;0;0;0
2022;"LUSSVENAM";"Long";"Atlantique";0;0;0;0;0
2002;"MOTFLA";"Long";"Atlantique";0;0;0;0;0
2004;"MOTFLA";"Long";"Atlantique";0;0;0;0;0
2006;"MOTFLA";"Long";"Atlantique";0;0;0;0;0
2007;"MOTFLA";"Long";"Atlantique";2;2;2;2;2
2008;"MOTFLA";"Long";"Atlantique";0,0624999999999998;0,625;1,25;1,875;2,4375
2009;"MOTFLA";"Long";"Atlantique";0,666666666666667;0,666666666666667;0,666666666666667;0,666666666666667;0,666666666666667
2010;"MOTFLA";"Long";"Atlantique";1;1;1;1;1
2011;"MOTFLA";"Long";"Atlantique";0,166666666666667;0,166666666666667;0,166666666666667;0,166666666666667;0,166666666666667
2012;"MOTFLA";"Long";"Atlantique";1;1;1;1;1
2013;"MOTFLA";"Long";"Atlantique";0,241666666666667;0,416666666666667;0,611111111111111;0,805555555555556;0,980555555555556
2014;"MOTFLA";"Long";"Atlantique";0,0499999999999998;0,5;1;1,5;1,95
2016;"MOTFLA";"Long";"Atlantique";0;0;0;0;0
2017;"MOTFLA";"Long";"Atlantique";0;0;0;0;0
2018;"MOTFLA";"Long";"Atlantique";1;1;1;1;1
2019;"MOTFLA";"Long";"Atlantique";1;1;1;1;1
2002;"MOTFLAAVA";"Long";"Atlantique";1;1;1;1;1
2009;"MOTFLAAVA";"Long";"Atlantique";0;0;0;0;0
1990;"MUSSTR";"Long";"Atlantique";0;0;0;0;0
1991;"MUSSTR";"Long";"Atlantique";0;0;0;0;0
1993;"MUSSTR";"Long";"Atlantique";0;0;0;0;0
1996;"MUSSTR";"Long";"Atlantique";0;0;0;0;0
1997;"MUSSTR";"Long";"Atlantique";0;0;0;0;0
2000;"MUSSTR";"Long";"Atlantique";0;0;0;0;0
2001;"MUSSTR";"Long";"Atlantique";0;0;0;0;0
2002;"MUSSTR";"Long";"Atlantique";0;0;0;0;0
2003;"MUSSTR";"Long";"Atlantique";0;0;0;0;0
2004;"MUSSTR";"Long";"Atlantique";0;0;0;0;0
2005;"MUSSTR";"Long";"Atlantique";0;0;0;0;0,9
2006;"MUSSTR";"Long";"Atlantique";0;0;0;0;0
2007;"MUSSTR";"Long";"Atlantique";0;0;0;1;1
2008;"MUSSTR";"Long";"Atlantique";0;0;0;0;0,9
2009;"MUSSTR";"Long";"Atlantique";0;0;0;0;0
2010;"MUSSTR";"Long";"Atlantique";0;0;0;0;0
2011;"MUSSTR";"Long";"Atlantique";0;0;0;0;0
2012;"MUSSTR";"Long";"Atlantique";0;0;0;0;0
2013;"MUSSTR";"Long";"Atlantique";0;0;0;0;0
2014;"MUSSTR";"Long";"Atlantique";0;0;0;0;1,75
2015;"MUSSTR";"Long";"Atlantique";0;0;0;0;0
2016;"MUSSTR";"Long";"Atlantique";0,0249999999999999;0,25;0,5;0,75;0,975
2017;"MUSSTR";"Long";"Atlantique";0;0;0;0;0
2018;"MUSSTR";"Long";"Atlantique";0;0;0;0;0
2019;"MUSSTR";"Long";"Atlantique";0;0;0;0;0
2020;"MUSSTR";"Long";"Atlantique";0;0;0;0;0
2021;"MUSSTR";"Long";"Atlantique";0;0;0;0;0
2022;"MUSSTR";"Long";"Atlantique";0;0;0;0;0
2002;"OENOEN";"Long";"Atlantique";0;0;0;0;0
2010;"OENOEN";"Long";"Atlantique";0;0;0;0;0
2014;"OENOEN";"Long";"Atlantique";0;0;0;0;0
1991;"ORIORI";"Long";"Atlantique";0;0;0;0;0
1992;"ORIORI";"Long";"Atlantique";0;0;0;0;0
1993;"ORIORI";"Long";"Atlantique";0;0;0;0;0
1999;"ORIORI";"Long";"Atlantique";0;0;0;0;0
2000;"ORIORI";"Long";"Atlantique";0;0;0;0;0
2006;"ORIORI";"Long";"Atlantique";0;0;0;0;0
2011;"ORIORI";"Long";"Atlantique";0;0;0;0;0
2014;"ORIORI";"Long";"Atlantique";0;0;0;0;0
2015;"ORIORI";"Long";"Atlantique";0;0;0;0;0
2016;"ORIORI";"Long";"Atlantique";0;0;0;0;0
2020;"ORIORI";"Long";"Atlantique";0;0;0;0;0
1990;"PHOPHO";"Long";"Atlantique";1;1;1;1;1
1991;"PHOPHO";"Long";"Atlantique";0;0;0;0;0
1993;"PHOPHO";"Long";"Atlantique";6;6;6;6;6
1999;"PHOPHO";"Long";"Atlantique";2;2;2;2;2
